Unnamed: 0,Belo Horizonte,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,,Venda,,,,,,,,,,,,,,,,,,,,Locação,,,,,,,,,,,,,,,,,,,,Rentabilidade do aluguel (rental yield),,,,,Venda,,,,Locação,,,,Rentabilidade do aluguel (rental yield)
,,Número-Índice,,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,Número-Índice,,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,(% - mensalizada),,,,,Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),(% - mensalizada)
,Data,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,Total,Total,Total,Total,Total,Total,Total,Total
,2010-03-01 00:00:00,93.98385124323941,93.39635910079154,94.75121506074314,93.62656629815469,93.72046227755419,0.0033792473048589082,-0.01842332531560493,0.00995074690695671,0.0016354634151015584,0.005828985534123463,.,.,.,.,.,3440.4066109430987,4062.6292278354235,3407.978217900168,3010.8263704134606,3821.1121327037217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-04-01 00:00:00,93.80591498470584,91.09208169919458,95.32198850609817,93.10070726141771,93.94394490667311,-0.0018932641744278196,-0.02467202601666972,0.006023916896359761,-0.00561655796563526,0.0023845660135249935,0.13113294227257777,0.24620404938271512,0.152796776510836,0.10768803585560716,0.10108028472734709,3433.8930123611353,3962.3959338301847,3428.507595469403,2993.91588957957,3830.223826829236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-05-01 00:00:00,94.49472905110683,89.44323935905268,96.68550130874938,93.7582312252761,94.62566634271853,0.007342970499390202,-0.018100830603330852,0.014304284079889738,0.007062502350407815,0.007256683086096233,0.12890064711379523,0.216886241866175,0.15686611797702654,0.1055825427119268,0.0989027321529603,3459.107987448965,3890.6732762485976,3477.5499420850574,3015.0604275866494,3858.0185472893504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-06-01 00:00:00,96.35204214747002,92.00008222808214,98.18311808469319,95.78999463581265,96.4127367807741,0.01965520315274597,0.02858620603806057,0.015489569332235392,0.0216702404043305,0.018885684055138692,0.1469177055969959,0.24479508180708098,0.17522348822061207,0.12573005365163725,0.10905993501167455,3527.0974576695603,4001.892864150216,3531.415693019295,3080.3975118860358,3930.8798666523226,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-07-01 00:00:00,98.46495298804952,95.91054804727978,99.75210056619903,97.93276116053202,98.55933902559161,0.02192907169881901,0.04250502526185802,0.015980165553027406,0.022369418986461484,0.022264716431590573,0.15664664194223699,0.2651803476227601,0.18188568508439484,0.13895944734466337,0.11270831210028387,3604.443430707518,4171.99342143617,3587.8483004303025,3149.304214474267,4018.3997922099848,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-08-01 00:00:00,100,100,100,100,100,0.015589780580475028,0.04263818772784296,0.0024851550232414176,0.0211087568140691,0.014617193952917206,0.16253340769896396,0.30760047293402737,0.1683001287470054,0.15551421711920743,0.11450573049533541,3660.635912906983,4349.879660138692,3596.764659656745,3215.782111271127,4077.13752135308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-09-01 00:00:00,100.56371682455756,101.63673373164501,99.89601306887505,100.94233214855424,100.42277517023075,0.005637168245575669,0.016367337316450063,-0.0010398693112493988,0.009423321485542273,0.004227751702307524,0.14787192802023186,0.2694020499241392,0.13812356958900063,0.15368048734034745,0.10629106285639245,3681.2715334338354,4421.0756078221475,3593.0244944673814,3246.085459933091,4094.374646449522,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-10-01 00:00:00,101.66970340079206,102.58427015772888,101.22164179274316,102.2006427881149,100.95504966169464,0.01099786892487274,0.009322775253538427,0.01327008639428015,0.012465638674850866,0.005300336408365599,0.13179973479704632,0.22736176639234218,0.11539976687679587,0.14479160640976252,0.09593072264974412,3721.757675235406,4462.292302092776,3640.7042399257284,3286.549988384304,4116.0762094575875,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-11-01 00:00:00,103.44689512881439,103.95558766710164,104.44557483571481,102.93856882145106,102.64739323239364,0.017480052253289843,0.013367717168180672,0.03185023465211943,0.00722036587251247,0.01676333750882324,0.1270276499945433,0.18055237636341293,0.12776481662367378,0.13106778930195007,0.09686071978687338,3786.8141938726035,4521.942963508902,3756.6615242663293,3310.280081758741,4185.075384168763,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-12-01 00:00:00,106.35139175626458,108.96664712757062,108.94185132911144,104.61549376579154,104.53733696492905,0.028077175480553947,0.04820384909482675,0.04304898987313671,0.016290540693732997,0.01841199930188758,0.14374754297949455,0.19622523818702065,0.1634873905541927,0.13164592545165377,0.11427642303388197,3893.137240506217,4739.918019737298,3918.3820081812732,3364.2063341382855,4262.130989220425,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
