Unnamed: 0,Fortaleza,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2010-11-01 00:00:00,102.67452873800119,.,.,.,.,0.0017959001653897202,.,.,.,.,.,.,.,.,.,3879.8180641449185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2010-12-01 00:00:00,101.80523420124449,.,.,.,.,-0.008466506225462253,.,.,.,.,.,.,.,.,.,3846.9695603511746,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-01-01 00:00:00,101.43784251483179,.,.,.,.,-0.0036087701118240547,.,.,.,.,.,.,.,.,.,3833.0867315806818,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,102.14906663904831,.,.,.,.,0.007011427950200432,.,.,.,.,.,.,.,.,.,3859.9621430260295,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,104.09767133242127,.,.,.,.,0.019076089067543798,.,.,.,.,0.10954144303911795,.,.,.,.,3933.5951246637414,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,106.15016470411736,.,.,.,.,0.019716996023299557,.,.,.,.,0.1301256982382084,.,.,.,.,4011.1538040940063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,108.55054835258176,.,.,.,.,0.022613093961325544,.,.,.,.,0.1429755463513871,.,.,.,.,4101.858401959313,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,111.18825442102492,.,.,.,.,0.02429933435136287,.,.,.,.,0.15823640684222728,.,.,.,.,4201.5308307304695,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,113.7636678046157,.,.,.,.,0.023162638868659,.,.,.,.,0.1521435020893489,.,.,.,.,4298.8493720582155,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,116.1595596738007,.,.,.,.,0.021060255136111157,.,.,.,.,0.16159559673800694,.,.,.,.,4389.384236625473,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,117.84656578965928,.,.,.,.,0.014523179328468852,.,.,.,.,0.15483617939055616,.,.,.,.,4453.132051035539,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,119.24492743739356,.,.,.,.,0.011865951615681066,.,.,.,.,0.16347336472445773,.,.,.,.,4505.972700491365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-11-01 00:00:00,119.87651022778614,.,.,.,.,0.005296517042405784,.,.,.,.,0.1675389378575085,.,.,.,.,4529.838661692132,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-12-01 00:00:00,120.5662526165107,.,.,.,.,0.0057537743417282175,.,.,.,.,0.1842834365292081,.,.,.,.,4555.902331155944,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-01-01 00:00:00,121.03741182079843,.,.,.,.,0.0039078862788110265,.,.,.,.,0.1932175292776055,.,.,.,.,4573.706279363471,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-02-01 00:00:00,121.98218139982086,.,.,.,.,0.007805599647332239,.,.,.,.,0.1941585509621384,.,.,.,.,4609.406799484673,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-03-01 00:00:00,122.70528212109963,.,.,.,.,0.005927920889598448,.,.,.,.,0.17875146053226842,.,.,.,.,4636.730998339995,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-04-01 00:00:00,122.79105205244178,.,.,.,.,0.0006989913544024795,.,.,.,.,0.15676741901163482,.,.,.,.,4639.972033220523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-05-01 00:00:00,125.7204341317765,.,.,.,.,0.023856641264736758,.,.,.,.,0.15817410450498537,.,.,.,.,4750.666181495477,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-06-01 00:00:00,129.032178231892,.,.,.,.,0.02634213064078542,.,.,.,.,0.1604838919702738,.,.,.,.,4875.808850679192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-07-01 00:00:00,133.45337703902644,.,.,.,.,0.03426431195471874,.,.,.,.,0.17307554876155185,.,.,.,.,5042.875086170443,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-08-01 00:00:00,135.2828065241266,.,.,.,.,0.013708379103551464,.,.,.,.,0.16462912655684825,.,.,.,.,5112.0047296235225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-09-01 00:00:00,135.92278317134713,.,.,.,.,0.00473065767678601,.,.,.,.,0.15338773141638717,.,.,.,.,5136.187874041482,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-10-01 00:00:00,134.49869711720953,.,.,.,.,-0.010477169617269895,.,.,.,.,0.1279196524969548,.,.,.,.,5082.3751624989845,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-11-01 00:00:00,133.14167111789524,.,.,.,.,-0.010089510369990513,.,.,.,.,0.11065688236088111,.,.,.,.,5031.09648559277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2012-12-01 00:00:00,133.95886096411098,.,.,.,.,0.006137746652527209,.,.,.,.,0.11108090412495963,.,.,.,.,5061.976081205758,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-01-01 00:00:00,138.48000128084956,.,.,.,.,0.03375021468680483,.,.,.,.,0.14410907501786063,.,.,.,.,5232.818860685923,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-02-01 00:00:00,142.2939225087837,.,.,.,.,0.02754131421618921,.,.,.,.,0.16651400127357197,.,.,.,.,5376.937569164475,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-03-01 00:00:00,141.39767630477817,.,.,.,.,-0.006298555751389905,.,.,.,.,0.15233569297555372,.,.,.,.,5343.070628113349,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-04-01 00:00:00,141.04527679828038,.,.,.,.,-0.002492258117016072,.,.,.,.,0.14866087097325753,.,.,.,.,5329.754316970643,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-05-01 00:00:00,141.783122457177,.,.,.,.,0.005231268112237937,.,.,.,.,0.12776513568640757,.,.,.,.,5357.635690775074,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-06-01 00:00:00,142.7405939400613,.,.,.,.,0.0067530709317921225,.,.,.,.,0.10624028746947922,.,.,.,.,5393.81618462158,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-07-01 00:00:00,144.01153765319606,.,.,.,.,0.008903870146907541,.,.,.,.,0.07911497519528532,.,.,.,.,5441.842023525738,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-08-01 00:00:00,144.29015083398178,.,.,.,.,0.0019346587455837088,.,.,.,.,0.06658158964383087,.,.,.,.,5452.370130788638,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-09-01 00:00:00,146.6668020819522,.,.,.,.,0.016471333866058212,.,.,.,.,0.07904501850187184,.,.,.,.,5542.1779395741805,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-10-01 00:00:00,148.72969882490796,.,.,.,.,0.014065192079411905,.,.,.,.,0.10580772909121006,.,.,.,.,5620.129736832571,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-11-01 00:00:00,151.5897445706742,.,.,.,.,0.019229822747999066,.,.,.,.,0.13855972587608156,.,.,.,.,5728.20383549262,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2013-12-01 00:00:00,152.84285091944815,.,.,.,.,0.008266432220220006,.,.,.,.,0.14096857661693907,.,.,.,.,5775.555644242324,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-01-01 00:00:00,153.47986864328655,.,.,.,.,0.004167795353242451,.,.,.,.,0.10831793200244078,.,.,.,.,5799.62697821879,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-02-01 00:00:00,154.7259011073968,.,.,.,.,0.008118540073853198,.,.,.,.,0.08736830343436264,.,.,.,.,5846.711482254859,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-03-01 00:00:00,156.9137409359314,.,.,.,.,0.014140100738634602,.,.,.,.,0.10973351922494712,.,.,.,.,5929.384571603675,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-04-01 00:00:00,159.07242866718613,.,.,.,.,0.013757161854525888,.,.,.,.,0.1278110992308361,.,.,.,.,6010.956074852954,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-05-01 00:00:00,160.79320906117263,.,.,.,.,0.010817590505182583,.,.,.,.,0.13407862850345453,.,.,.,.,6075.980136215354,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-06-01 00:00:00,161.75565772855077,.,.,.,.,0.005985630071055919,.,.,.,.,0.13321412825614387,.,.,.,.,6112.348705629823,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-07-01 00:00:00,162.92614872847153,.,.,.,.,0.007236167293047629,.,.,.,.,0.13134094242382877,.,.,.,.,6156.578683417204,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-08-01 00:00:00,163.04705788867716,.,.,.,.,0.000742110220791716,.,.,.,.,0.12999436861270453,.,.,.,.,6161.147543383277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-09-01 00:00:00,163.1881548866728,.,.,.,.,0.000865375921667891,.,.,.,.,0.11264548330091118,.,.,.,.,6166.479252117163,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-10-01 00:00:00,163.23440067743235,.,.,.,.,0.00028338938442965694,.,.,.,.,0.09752391060510424,.,.,.,.,6168.226766876519,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-11-01 00:00:00,164.17321691152924,.,.,.,.,0.0057513381382891015,.,.,.,.,0.08301005042586085,.,.,.,.,6203.7023247264715,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2014-12-01 00:00:00,165.071179847905,.,.,.,.,0.005469606756013313,.,.,.,.,0.0800058939943582,.,.,.,.,6237.634136874091,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-01-01 00:00:00,167.43247753777663,.,.,.,.,0.014304724132021822,.,.,.,.,0.09090839741932766,.,.,.,.,6326.861772438558,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-02-01 00:00:00,166.9930874666094,.,.,.,.,-0.0026242822039594564,.,.,.,.,0.07928334087191935,.,.,.,.,6310.258301682236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-03-01 00:00:00,166.54341047628742,.,.,.,.,-0.0026927880497562475,.,.,.,.,0.06136919228946214,.,.,.,.,6293.266113536591,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-04-01 00:00:00,169.24802118364985,.,.,.,.,0.01623967408633999,.,.,.,.,0.06396829797420933,.,.,.,.,6395.466704159032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2015-05-01 00:00:00,170.41976854173504,.,.,.,.,0.006923255881460021,.,.,.,.,0.05986919184441453,.,.,.,.,6439.744156633283,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
