Unnamed: 0,FipeZap Histórico
,Índice (ago/2010 = 100)
1975-06-01,3.043821814062245e-11
1975-12-01,3.749635568047692e-11
1976-06-01,4.326502578516567e-11
1976-12-01,4.816559504885758e-11
1977-06-01,6.79388393320728e-11
1977-12-01,9.421866399908108e-11
1978-06-01,9.304093069909258e-11
1978-12-01,1.3136358233765175e-10
1979-06-01,1.6059882126102602e-10
1979-12-01,2.2976807300017623e-10
1980-06-01,3.0223503706860877e-10
1980-12-01,4.49994388524373e-10
1981-06-01,6.381240103795847e-10
1981-12-01,7.444780121095155e-10
1982-06-01,9.926373494793539e-10
1982-12-01,1.4372476799270385e-09
1983-06-01,2.0532109713243407e-09
1983-12-01,3.487826329493271e-09
1984-06-01,5.627956751015321e-09
1984-12-01,9.452981573833176e-09
1985-06-01,1.9647373467182683e-08
1985-12-01,3.962775326431762e-08
1986-06-01,1.165522154832867e-07
1986-12-01,1.7548878577933535e-07
1987-06-01,2.0474301518521082e-07
1987-12-01,4.190833592072284e-07
1988-06-01,9.232159883712176e-07
1988-12-01,4.0898826120499364e-06
1989-06-01,1.340694139671982e-05
1989-12-01,6.506309795466971e-05
1990-06-01,0.0004879732346600228
1990-12-01,0.0006369684674903817
1991-06-01,0.0022353706867045053
1991-12-01,0.00643416926635143
1992-06-01,0.020307259074885373
1992-12-01,0.07161263583815398
1993-06-01,0.34285899647671453
1993-12-01,1.62180368027886
1994-06-01,16.11433391669788
1994-12-01,19.48600290403115
1995-06-01,21.193009977491602
1995-12-01,21.736420489734982
1996-06-01,27.623367705704865
1996-12-01,25.321420396896134
1997-06-01,26.58749141674094
1997-12-01,29.8587662855608
1998-06-01,28.814685242242167
1998-12-01,30.049600324052555
1999-06-01,31.927700344305837
1999-12-01,29.100247257388467
2000-06-01,39.14541745712578
2000-12-01,34.500444914658864
2001-06-01,34.04649169209756
2001-12-01,34.70123191694559
2002-06-01,36.18567350450382
2002-12-01,40.20630389389314
2003-06-01,41.104996200555696
2003-12-01,41.104996200555696
2004-06-01,41.88056216660392
2004-12-01,39.54177752613124
2005-06-01,44.85519984659336
2005-12-01,49.69840138175355
2006-06-01,54.618684709434284
2006-12-01,51.98967050763088
2007-06-01,55.140559629305486
2007-12-01,60.564221232188
2008-06-01,66.24077244855734
2008-12-01,72.01530810562325
2009-06-01,79.38135981370176
2009-12-01,87.55445109262887
2010-06-01,96.18853555931173
2010-12-01,108.56260889216011
2011-06-01,123.80807514334458
2011-12-01,137.83070713380377
2012-06-01,148.38192089514945
2012-12-01,159.58205166461744
2013-06-01,169.0770388687619
2013-12-01,181.783114207413
2014-06-01,189.7985456222433
2014-12-01,195.1131482707359
2015-06-01,199.39844871755932
,
,
,Notas: Os números índices foram calculados com base nos valores nominais convertidos em R$
,            O valor de jun/2008 foi calculado com base na variação nominal observada entre jul/2008 e jan/2008
,"Fonte: ZAP (www.zap.com.br), ACERVO/O ESTADO DE SÃO DE PAULO e IBGE"
