Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,2,7,12,17,22,27,32,37,42,,47,48,49,50,51,52,53,54,55,56
,Planilha de Resultados,,Imóveis residenciais,,,,,,,,,,Imóveis comerciais,,,,,,,,,
,Selecione o período ▼,1,Preços de venda,,,,Preços de locação,,,,"Rentabilidade do aluguel
(rental yield)",,Preços de venda,,,,Preços de locação,,,,"Rentabilidade do aluguel
(rental yield)",
,▼ Clique na cidade para acessar as séries históricas*,,Número-Índice,Variação mensal (%),Variação em       12 meses (%),Preço médio (R$/m²),Número-Índice,Variação mensal (%),Variação em       12 meses (%),Preço médio (R$/m²),"Taxa de retorno
(% ao mês)","Taxa de retorno
(% ao ano)",Número-Índice,Variação mensal (%),Variação em       12 meses (%),Preço médio (R$/m²),Número-Índice,Variação mensal (%),Variação em       12 meses (%),Preço médio (R$/m²),"Taxa de retorno
(% ao mês)","Taxa de retorno
(% ao ano)"
,,Data de referência dos dados da tabela ►,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-01-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00
Índice FipeZAP,Índice FipeZAP,,180.895946948159,0.002033893099878249,0.06118495542841362,9641.82003485837,273.4741777088267,0.0068034804767007585,0.09438675001876207,51.06671672430408,0.004966005046364191,0.05959206055637029,89.11236271626119,0.0005603304247613157,0.025482818123979456,8664.012579746686,115.38088535496183,0.007203920579290639,0.08910203198510969,49.9828437999968,0.005945248847654804,0.07134298617185765
São Paulo,São Paulo,SP,281.13758830752124,0.001539556409813958,0.04295782121206826,11915.278459825491,239.00536598565054,0.004903300723084314,0.07983341822840395,62.689111265630494,0.005233178094067485,0.06279813712880983,98.82414475086179,0.0011646103339859604,0.027319807243217697,10465.543067839113,123.76579771785569,0.006501173153197426,0.08347219033770892,59.088877598479904,0.005922143192246136,0.07106571830695363
Barueri,Barueri,SP,173.09589274145821,0.0014560828072101017,0.07018749581438644,11672.4312796214,224.09982680421857,0.0016264472495473026,0.13973463137064823,70.81862101599137,0.005991404759861394,0.07189685711833672,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Campinas,Campinas,SP,185.71849811720276,0.00376356045054016,0.08380783053269125,7582.104088012062,238.1093898205189,0.013453724882233065,0.19923849141803918,50.93157030088248,0.0066681051929085,0.080017262314902,106.06730162613147,-0.0006892618777789572,0.02082273177895222,6661.2817087246785,150.64184362621265,0.013235891156210267,0.16117681588454924,47.77672624747819,0.007223131531686576,0.0866775783802389
Diadema,Diadema,SP,144.00787886884595,0.0010692125670077601,0.02964679565192574,6682.333750313437,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Guarujá,Guarujá,SP,184.8352014418312,0.00782904107152027,0.04491876434522846,6749.834280959794,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Guarulhos,Guarulhos,SP,187.99485370333775,0.00553810448875991,0.04417996894682341,7140.950483947574,192.4210720076327,-0.0027652706929858217,0.07139959984966304,39.92981234266557,0.005526579114004051,0.06631894936804861,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Osasco,Osasco,SP,191.9413319232804,0.0054298666891161584,0.07769491830579978,8351.606920129781,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Praia Grande,Praia Grande,SP,214.5750553370655,0.0035918824074026023,0.04817965260337265,6487.835232113422,199.17086738531987,0.012816007173552801,0.09402249913957395,43.52783543221536,0.006663743094639356,0.07996491713567228,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Ribeirão Preto,Ribeirão Preto,SP,130.0600344830537,0.0014424079333155149,0.036243263650751256,5130.961418685558,193.1193970245646,0.009266005369978458,0.11599299830594334,31.939763839877063,0.006269855570739847,0.07523826684887816,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Santo André,Santo André,SP,202.6054915329511,0.004148830460653619,0.06051037980765961,7676.703057235653,190.68737845841326,0.013965110163857375,0.0782994326481552,40.60565940346624,0.0051974875710343585,0.0623698508524123,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Santos,Santos,SP,179.7036833363386,0.0048123831622779445,0.09362293767014229,8075.418699920682,198.7512987056423,0.006758052364934208,0.1280301289945318,58.267392287331134,0.007139784066533964,0.08567740879840757,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
São Bernardo do Campo,São Bernardo do Campo,SP,200.82507761939524,0.003747590323110117,0.07126751051088642,7040.550815229143,203.55316098727096,0.003233533765008012,0.07308219312365472,37.01139938005489,0.005174949198663314,0.06209939038395977,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
São Caetano do Sul,São Caetano do Sul,SP,229.23317365004092,0.0033606325773196666,0.10197345428526727,9546.198520888325,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
São José do Rio Preto,São José do Rio Preto,SP,135.23761927148445,0.005426466307070443,0.10681711721272968,5780.003935707989,214.6434665070415,0.010897900487462753,0.15406770375097545,28.39593317427163,0.005519688422629288,0.06623626107155146,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
São José dos Campos,São José dos Campos,SP,198.11546045718575,0.0069549329376727975,0.09406770585994928,9085.816798424126,238.55607921456925,0.014693992777706555,0.07430995308624588,45.40123454736474,0.004939506574585292,0.05927407889502351,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
São Vicente,São Vicente,SP,142.45723900795818,0.011136180261305695,0.07204706186729704,4828.789403084827,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível,não disponível
Rio de Janeiro,Rio de Janeiro,RJ,221.28407600423543,0.0016965423866712737,0.05017166321831534,10849.8852847288,233.12208486993265,0.010173025636415867,0.10869617644939988,55.299931662547586,0.004927481877308637,0.05912978252770365,70.14169309313449,0.0003920397202741288,-0.005320746504477114,8439.287443826057,93.87274636443057,0.011823081298509175,0.10225489714878377,49.857305098674374,0.005908189818995629,0.07089827782794754
Niterói,Niterói,RJ,139.20896906083885,0.002843559010257346,0.07347324541127365,7686.705060878828,161.67066846842442,0.0035132607390742088,0.16273949174556868,36.477355253348065,0.004534869795655179,0.05441843754786215,89.0815270332994,0.0022454882637115148,0.02738883709898232,8040.920774697178,157.00187741748005,0.002935306962828177,0.15475315296088232,46.559419307275554,0.005731577220966837,0.06877892665160204
