date,N_used,p1,deff,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,top5,cluster_count,largest_share,entropy,turnover_pair_frac,p1_shuffle,deff_shuffle,structure_score,p1_bootstrap,deff_bootstrap,structure_score_bootstrap,insufficient_universe
2018-06-22,475,0.2956893349669411,10.194209944873704,140.4524341092971,31.770878098763404,15.032150490140959,11.51271203265113,10.336060677442447,8.244937532414621,7.441749783137919,6.717756330927398,6.292665902997191,5.903147731434443,0.44021944296483145,183,0.27157894736842103,3.9894363543496674,,,,,,,,False
2018-06-25,475,0.2976166880080789,10.0667207689605,141.36792680383746,32.33887701239807,14.813681398876145,11.857435619386472,10.126364524026872,8.023810097573293,7.462554085628637,6.642585528581882,6.322546003020173,5.836991475717942,0.4431669165442632,186,0.2631578947368421,4.051347625652797,,0.018333380398763668,95.02948427558103,85.24204681422984,0.018461492155332795,94.0440840937431,84.25651852063535,False
2018-06-26,475,0.29767207712409227,10.065843139176948,141.39423663394382,32.12713731067215,15.119678100247143,11.779588751567864,10.144506693265875,8.023088554452904,7.477446798532785,6.666644062421426,6.247408231665389,5.8772047392209465,0.44329504734673025,188,0.25263157894736843,4.082476362367521,,,,,,,,False
2018-06-27,475,0.299112138500516,9.984627688151713,142.07826578774507,31.930356277838634,15.367445498853524,11.572837391380466,10.240576056112129,8.004606942556208,7.4903353621194615,6.5049304277468085,6.248632931406504,5.889073811172176,0.4446094337093261,186,0.25684210526315787,4.071309268986704,,,,,,,,False
2018-06-28,475,0.29874704564814014,10.008311482383725,141.90484668286655,31.85965071163259,15.370296471509095,11.586734946744919,10.22380319961323,7.98102398496702,7.4745314542536345,6.477179298643876,6.231943689986031,5.851340845318308,0.4440954358155082,189,0.25684210526315787,4.082313644148999,,,,,,,,False
2018-06-29,475,0.29801754447554935,10.050100636985489,141.5583336258859,31.88625241022325,15.345417978993487,11.615779814887006,10.244867797310073,8.024070739847652,7.4839943977481145,6.493583590140986,6.2418681346180485,5.859647427932453,0.4434750560574732,190,0.2673684210526316,4.055458408792433,0.01416833222296247,,,,,,,False
2018-07-02,475,0.29860039643649944,10.0228035519765,141.8351883073372,31.554140166263743,15.355200091351078,11.572859984068359,10.312225113412095,8.033653176990034,7.559112530702261,6.503625513360584,6.43942001144969,5.871514881071175,0.4434307656051211,190,0.2673684210526316,4.054150043214447,0.013901843215634022,0.018946834937995732,95.27351730715024,85.53036731667225,0.01896248963556631,94.2700424435703,84.52687679839474,False
2018-07-03,476,0.2999353775688875,9.948857994339711,142.7692397227905,30.992980303259536,15.740821308049764,11.742368720454213,10.457116161520661,8.108676665658216,7.639288658224715,6.559232650406998,6.508452805015095,5.988554765608403,0.4447532063362912,185,0.27310924369747897,4.008326433457067,0.02516544525871641,,,,,,,False
2018-07-05,476,0.30027014356923265,9.930928232826277,142.92858833895468,31.024035984369675,15.70000988632368,11.700095665552418,10.523577269758842,8.076115371708262,7.655531401096357,6.528284907566911,6.474334335410141,5.954022152461256,0.4451182923213433,186,0.2668067226890756,4.0383093782312365,0.023619809016211416,,,,,,,False
2018-07-06,476,0.3006262815486678,9.915893811420029,143.09811001716585,30.926538479458564,15.646976940254287,11.658882508506075,10.48430348043699,8.09468645145945,7.649843150348099,6.494960881353745,6.465175242843314,5.928302928092849,0.4449890996340794,185,0.27310924369747897,4.007612571957926,0.026675549633577614,,,,,,,False
2018-07-09,476,0.30015286356243975,9.90332804645547,142.87276305572126,32.57906705128681,15.520649068773444,11.729582705663486,10.31881597786927,8.070159283123763,7.692447674583071,6.526470242194424,6.4806935465660045,5.945815887170782,0.4475228526456185,183,0.27941176470588236,3.96263372072472,0.020795025538529868,,,,,,,False
2018-07-10,476,0.2996939317882698,9.926828127630033,142.65431153121642,32.627949458327905,15.537835272545115,11.75827186292818,10.374549522158837,8.085105828355356,7.7298714773235595,6.553088039055918,6.465237897816691,6.110021067570921,0.4473800790907069,183,0.27941176470588236,3.9717815113446635,0.021008216744392627,0.01832653720561284,94.97256676248908,85.32710602944171,0.018322341681936655,94.90240039937324,85.25694386184954,False
2018-07-11,476,0.3000495594715987,9.90116713120693,142.82359030848102,32.80697282349891,15.530309352050878,11.791795707646063,10.396620120340788,8.124046101826934,7.760788774681471,6.543037532725547,6.4530597533358565,6.047828925801155,0.44821279057146557,185,0.28361344537815125,3.9690550916797602,0.01541795665634675,,,,,,,False
2018-07-12,476,0.2998105345634658,9.910748900167599,142.70981445220974,32.911697957276914,15.59612853020271,11.873513704661491,10.379688399069138,8.01203781570609,7.839311549376961,6.56406553663568,6.4723476210279856,5.9794285397898825,0.4484681576542436,186,0.27941176470588236,3.992168193122839,0.016346749226006194,,,,,,,False
2018-07-13,476,0.2992645490566245,9.935911470002626,142.44992535095327,33.10725688487503,15.587771137649696,11.921802694743043,10.42335930241996,8.036729435715415,7.846585630584235,6.575199451329286,6.487391632853697,6.0310717447486315,0.44850864573664073,186,0.2773109243697479,4.000523314482519,0.01427686864219372,,,,,,,False
2018-07-16,476,0.3001524986860967,9.882717571428604,142.87258937458205,33.075656152503925,15.701363487752065,11.863255963365791,10.527023224043454,8.089693523778681,7.928215302272179,6.5873020709842125,6.499153011966899,6.067489923578381,0.44966363067699006,183,0.2773109243697479,3.971643455157607,0.017540911101282617,,,,,,,False
2018-07-17,476,0.30165481290800455,9.795332683275069,143.58769094421012,33.14652215792148,15.730656721808927,11.76928227536272,10.453096185959176,8.098165845000796,7.947867939386757,6.606984550687739,6.562799541794503,6.092435259037239,0.4510236308513918,178,0.2920168067226891,3.8948868118086946,0.015108359133126935,0.0176762168974226,95.608340301654,86.09698621438952,0.018554931277406837,94.71858071768817,85.2063479160437,False
2018-07-18,476,0.3022022675895867,9.757345838746541,143.84827937264322,33.41401978439295,15.733174011877644,11.799201055956868,10.452764322885066,8.128129645961254,7.8847661925363575,6.605306484493375,6.454334376858067,6.105558331336228,0.45220050115074745,178,0.2857142857142857,3.9259726697652417,0.01817779743476338,,,,,,,False
2018-07-19,476,0.30101128357960616,9.812313765945426,143.2813709838925,33.79455346767682,15.82304776381835,11.845320384061214,10.58163571331976,8.172216418466315,7.872454041522205,6.61146437294672,6.432335003410572,6.162697528135561,0.4523653956150603,176,0.29831932773109243,3.862142641861666,0.018575851393188854,,,,,,,False
