window,metric,n,mean_delta,std_delta,significant_share_p_lt_0_05,mean_z_vs_zero,mean_pvalue_vs_zero,latest_delta,latest_z,latest_pvalue
60,delta_p1_vs_bootstrap,396,0.25996577628008133,0.10203507085373227,0.6691919191919192,50.70074030666283,0.0,0.14020147472336136,1.3740518191469755,0.16942559569060747
60,delta_deff_vs_bootstrap,396,40.42085596568397,4.394467476473567,1.0,183.04035289038345,0.0,34.4694771046845,7.8438348421559505,4.369917639718194e-15
120,delta_p1_vs_bootstrap,384,0.27545122339484207,0.09796692976957866,0.8151041666666666,55.09736380876235,0.0,0.13433186570119554,1.3711960354085646,0.17031385376373592
120,delta_deff_vs_bootstrap,384,82.3656098246717,4.46670745094033,1.0,361.34664047656224,0.0,70.39809517678664,15.760623669671148,5.805721495721239e-56
252,delta_p1_vs_bootstrap,357,0.2973468153044086,0.09159584631075358,0.9495798319327731,61.33687133128284,0.0,0.257665839722826,2.8130734099956163,0.004907044721416041
252,delta_deff_vs_bootstrap,357,151.28792292284857,3.581399116238186,1.0,798.1520736562728,0.0,150.4536529790065,42.00974202982418,0.0
