date,regime,regime_raw,risk_score,signal_confidence,alert_level_raw,alert_level,transition_score,dp1_5,ddeff_5
2018-06-22,stable,stable,0.6494013534617388,0.45,yellow,yellow,0.0,,
2018-06-25,stable,stable,0.6488287350338364,0.45,yellow,yellow,-0.01632443980244698,,
2018-06-26,stable,stable,0.6472670484122853,0.45,yellow,yellow,-0.02936917058334524,,
2018-06-27,stable,stable,0.651249349297241,0.45,yellow,yellow,-0.025828222240097332,,
2018-06-28,stable,stable,0.6499739718896408,0.45,yellow,yellow,-0.028174123760308634,,
2018-06-29,stable,stable,0.5308172826652785,0.6992434332212804,green,yellow,-0.422951749248664,0.001963471807533812,-0.11462208930273654
2018-07-02,stable,stable,0.5008849557522124,0.7225522094144176,green,green,-0.4793819430132892,0.0012142641623326123,-0.05147821982347445
2018-07-03,stable,stable,0.5049453409682457,0.7190633674501163,green,green,-0.47276612355403475,0.001366183970994972,-0.058188507134209644
2018-07-05,stable,stable,0.47920353982300884,0.7418206998326686,green,green,-0.5160978524013674,0.0004755657932414836,-0.0075040508968626796
2018-07-06,stable,stable,0.5474492451847996,0.6921755663310273,green,green,-0.4049192884714226,0.0024849064654072217,-0.11349289648853222
2018-07-09,stable,stable,0.560671525247267,0.6786781568442545,green,green,-0.3729981443281648,0.0027051419120496245,-0.1647766971711775
2018-07-10,stable,stable,0.5402654867256638,0.6968219687091116,green,green,-0.41576443926446655,0.0018995168294392295,-0.13095202281363783
2018-07-11,stable,stable,0.5440655908381051,0.6927506129618324,green,green,-0.41071845373395843,0.0019977277698771667,-0.14423145121222092
2018-07-12,stable,stable,0.5211608537220198,0.7133642969855903,green,green,-0.4526888650387258,0.001101550101934079,-0.10448513969941509
2018-07-13,stable,stable,0.4957834461218115,0.7299553731211371,green,green,-0.49371939391922404,-0.0012547550921254147,0.012235857773081449
2018-07-16,stable,stable,0.4852680895366996,0.7439742640847399,green,green,-0.5118961284329197,0.00010172640865485638,-0.022660312190879495
2018-07-17,stable,stable,0.539198334200937,0.7019194294821096,green,green,-0.4258313886737534,0.0017966332412882036,-0.11294215934235652
2018-07-18,stable,stable,0.5474232170744404,0.6930849499402967,green,green,-0.4139174845323387,0.002121810368783339,-0.13403506049777292
2018-07-19,stable,stable,0.5241280583029672,0.7145524869395482,green,green,-0.4536251132519543,0.0011842878686038616,-0.09293343099687412
2018-07-20,stable,stable,0.5097605413846955,0.7222825662125255,green,green,-0.47433443191825697,0.0009258356093784226,-0.07268064980711131
2018-07-23,stable,stable,0.490031233732431,0.7359243819218284,green,green,-0.502353628713059,-0.0007823476749125313,0.01539737162373278
2018-07-24,stable,stable,0.5149661634565331,0.7192184727450166,green,green,-0.46611972972086557,-0.001407380198971464,0.05458608036203039
2018-07-25,stable,stable,0.5032795419052577,0.7344046854986764,green,green,-0.4910031025091607,-0.0005594290474785213,0.038240816572592706
2018-07-26,stable,stable,0.63878188443519,0.5405639328629968,green,green,-0.043732490008857525,-0.008224001101922895,0.4645459836139967
2018-07-27,stable,transition,0.6303748047891723,0.0,green,green,1.4728432480081908,-0.03361345578422692,2.034403960747424
