date,N_used,p1,deff,top5,cluster_count,largest_share,entropy,turnover_pair_frac,p1_shuffle,deff_shuffle,structure_score,p1_bootstrap,deff_bootstrap,structure_score_bootstrap,eigvec_overlap_1d,eigvec_instability_1d,insufficient_universe,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,dp1_5,ddeff_5,overlap_instability,transition_score,regime_raw,regime,exposure
2018-06-22,470,0.30078284493719476,9.829086687310992,0.4510607122854872,171,0.2765957446808511,3.905473063984692,,,,,,,,,,False,141.3679371204815,33.55596992991472,15.478613477693271,11.5321220959017,10.063892150187744,7.9294249027894335,7.589898921157305,6.910011412936431,6.4302293690989165,5.89248576044825,,,,0.0,stable,stable,0.7
2018-06-25,470,0.30211305234020996,9.741373770653707,0.453209889594473,168,0.26595744680851063,3.9141861358729804,,0.01902823952036512,95.2609301363975,85.80264117856365,0.01929898427962546,94.12203336025648,84.66347365766336,0.9997998751324697,0.00020012486753029357,False,141.99313459989867,34.10109220793714,15.246908855471165,11.78091961878272,9.886592827312597,7.800166507234139,7.572177554072648,6.985082580816372,6.322129714571703,5.83573111809694,,,0.00020012486753029357,-0.01632443980244698,stable,stable,0.7
2018-06-26,470,0.3021560663232129,9.741153101438627,0.45329726242446466,171,0.26382978723404255,3.962064012629189,,,,,,,,0.9999689636365617,3.103636343826377e-05,False,142.01335117191002,33.92389312343854,15.525825395194152,11.675962039767947,9.910681609187662,7.816805856495398,7.562179759546163,6.951065389272588,6.283849139177986,5.868040688422255,,,3.103636343826377e-05,-0.02936917058334524,stable,stable,0.7
2018-06-27,470,0.30373610173444027,9.658180404548336,0.4545750359628879,170,0.2680851063829787,3.9397600119688776,,,,,,,,0.9999230651302236,7.693486977644604e-05,False,142.75596781518686,33.662260317947286,15.807130370296706,11.46416994134135,9.960738457785002,7.789298201270333,7.571221767538031,6.88472298790157,6.258830262549764,5.8527158861696496,,,7.693486977644604e-05,-0.025828222240097332,stable,stable,0.7
2018-06-28,470,0.3034406251942565,9.67689194471243,0.4541675310980231,172,0.26595744680851063,3.9589225475983723,,,,,,,,0.9999534731919507,4.652680804928533e-05,False,142.61709384130054,33.59684267559161,15.795171584618826,11.505602252269362,9.944029262290485,7.771552113339574,7.556088774851572,6.871350732243633,6.175753588427672,5.85420343189067,,,4.652680804928533e-05,-0.028174123760308634,stable,stable,0.7
2018-06-29,470,0.30274631674472857,9.714464598008256,0.4536031912428127,171,0.2553191489361702,3.97987468243549,0.024379621648595928,,,,,,,0.9998866542590976,0.00011334574090238192,False,142.29076887002248,33.62606135423856,15.776685119584121,11.537362136016913,9.962622404259967,7.809108480969795,7.54734436072622,6.899092845680081,6.216601335527478,5.8590470945979485,0.001963471807533812,-0.11462208930273654,0.00011334574090238192,-0.422951749248664,stable,stable,0.7
2018-07-02,470,0.3033273165025426,9.689895550830233,0.4536457427606774,173,0.2702127659574468,3.948349083312016,0.011414054348319195,0.017852886243679672,95.18204556162773,85.77762444105636,0.019443983350179245,93.94177085003943,84.53575863236156,0.9999647830961167,3.5216903883306117e-05,False,142.563838756195,33.24498675556742,15.822646185802546,11.493751239973177,10.088276159980234,7.827189617026345,7.608107600801336,6.91434565740203,6.327513874582955,5.908506826253929,0.0012142641623326123,-0.05147821982347445,3.5216903883306117e-05,-0.4793819430132892,stable,stable,0.7
2018-07-03,470,0.3035222502942079,9.682964594304417,0.4539957420924925,174,0.28085106382978725,3.898082195904908,0.01778342330898698,,,,,,,0.9999745144311525,2.5485568847516404e-05,False,142.65545763827765,32.93213063157565,16.047029879199997,11.603341189806175,10.1400394446119,7.861047536487377,7.611267934782756,6.911077882043856,6.322293092249963,5.903043745553834,0.001366183970994972,-0.058188507134209644,2.5485568847516404e-05,-0.47276612355403475,stable,stable,0.7
2018-07-05,470,0.30421166752768175,9.650676353651473,0.4539489942539673,171,0.26382978723404255,3.947104049312615,0.008401760195980584,,,,,,,0.9999075288036532,9.247119634681056e-05,False,142.97948373801034,32.76024245278941,15.804961911036095,11.5669623235512,10.244376873977481,7.8647607973520195,7.665609210583324,6.929926196664739,6.2956134969385475,5.877151150985883,0.0004755657932414836,-0.0075040508968626796,9.247119634681056e-05,-0.5160978524013674,stable,stable,0.7
2018-07-06,470,0.30592553165966374,9.563399048223898,0.4550029476868345,170,0.274468085106383,3.9112617926549658,0.008347321145034704,,,,,,,0.9998339845781511,0.0001660154218489085,False,143.78499988004194,32.41894233204998,15.821849230881956,11.573484923433703,10.252109046404637,7.9551873652114535,7.672855186448159,6.927200606906802,6.307471624013828,5.884384603486683,0.0024849064654072217,-0.11349289648853222,0.0001660154218489085,-0.4049192884714226,stable,stable,0.7
2018-07-09,470,0.3054514586567782,9.549687900837078,0.45744509050552157,165,0.28085106382978725,3.864054194701138,0.018282447942657532,,,,,,,0.9998109082628127,0.00018909173718728578,False,143.56218556868578,34.06483708436756,15.705793465245495,11.612553290431956,10.053823128864364,7.96276376428565,7.743918563813656,6.885808669040732,6.301586507055874,5.898514146222529,0.0027051419120496245,-0.1647766971711775,0.00018909173718728578,-0.3729981443281648,stable,stable,0.7
2018-07-10,470,0.3052268333319818,9.558943528016595,0.457520039827935,166,0.25957446808510637,3.930619604297225,0.021294742094996145,0.01844829306894118,94.92345354370529,85.65128855595174,0.018571768429059856,93.95220700464955,84.67991854153587,0.999869572524421,0.00013042747557900913,False,143.4566116660314,34.10960125428777,15.707103567865975,11.655299650309273,10.105802580634935,8.013776539224668,7.771811028478576,6.93271792756034,6.278875524636508,6.009011273495722,0.0018995168294392295,-0.13095202281363783,0.00013042747557900913,-0.41576443926446655,stable,stable,0.7
2018-07-11,470,0.30551997806408504,9.538733143092196,0.4583087105025407,167,0.2851063829787234,3.8652963499672506,0.013618835911627275,,,,,,,0.9999201737101658,7.982628983416173e-05,False,143.59438969011995,34.24921928473508,15.746056917822926,11.691464356989584,10.123963686526537,8.034422676336096,7.7792384156336265,6.854167681820133,6.235884225413856,5.980807760641675,0.0019977277698771667,-0.14423145121222092,7.982628983416173e-05,-0.41071845373395843,stable,stable,0.7
