ticker,sector,coverage,vol60_latest,vol252_latest,corr120_latest,corr120_abs_latest,delta_corr120_5d,delta_vol60_5d,switches_30d,switches_90d,switches_180d,rank_vol,rank_corr_abs,rank_sw90,risk_score,confidence_score,regime_asset,sensitivity_score,stability_score
TLT,bonds_rates,0.9941176470588236,0.07911037577503927,0.11816411714550382,0.11471546950520832,0.11471546950520832,-0.007735912586940466,5.629047532104692e-05,1,6,6,0.00425531914893617,0.1,0.8297872340425532,0.20287234042553193,0.43404255319148943,transicao,0.20287234042553193,0.390014938886374
ACTG,consumer_discretionary,1.0,0.33551188581816727,0.4313834056587845,0.3899817976650077,0.3899817976650077,0.03653225402273824,0.01412985907678499,0,1,5,0.6234042553191489,0.597872340425532,0.44468085106382976,0.5787234042553191,0.44723404255319155,transicao,0.5787234042553191,0.3178216387505659
AIOT,consumer_discretionary,1.0,0.5699052363995899,0.652360546672368,0.629327007053844,0.629327007053844,-0.007254580820482359,0.12752777513448582,0,0,0,0.9234042553191489,0.9723404255319149,0.19042553191489361,0.793936170212766,0.8202127659574467,transicao,0.793936170212766,0.4946144748755092
AMPG,consumer_discretionary,1.0,0.8616520876864132,0.9557542692052479,0.2989419127092852,0.2989419127092852,0.03035796417983494,-0.08555793437108994,3,9,11,0.9851063829787234,0.39787234042553193,0.9287234042553192,0.7682978723404256,0.1848936170212765,transicao,0.7682978723404256,0.11386693073789037
AMZN,consumer_discretionary,1.0,0.2868513446488692,0.3498000696980201,0.33877467482057305,0.33877467482057305,-0.08659695979220577,0.016760684813812765,2,5,6,0.46808510638297873,0.49361702127659574,0.776595744680851,0.5387234042553191,0.1442553191489362,transicao,0.5387234042553191,0.10539846084200998
APPS,consumer_discretionary,1.0,0.6254875024304178,1.0407657911740584,0.32004946942892915,0.32004946942892915,-0.016534742397096513,0.0073544605553332865,3,4,5,0.948936170212766,0.451063829787234,0.7223404255319149,0.7293617021276596,0.42276595744680845,transicao,0.7293617021276596,0.2685913082842915
ARES,consumer_discretionary,1.0,0.49232722895788955,0.4593244957903246,0.5337035289614341,0.5337035289614341,0.03831789250588746,0.031853036758133335,4,4,5,0.8659574468085106,0.8702127659574468,0.7223404255319149,0.8387234042553191,0.27297872340425533,instavel,0.8387234042553191,0.15850190131281125
AXON,consumer_discretionary,1.0,0.47208763667321013,0.5577898427390012,0.2929352516477383,0.2929352516477383,0.02370790676207657,0.023166741621504172,1,1,7,0.8446808510638298,0.37872340425531914,0.44468085106382976,0.6015957446808511,0.5263829787234042,transicao,0.6015957446808511,0.36804809868718874
BKNG,consumer_discretionary,1.0,0.3537512073879097,0.30029314363049536,0.2871759580554778,0.2871759580554778,0.010712655677167227,0.01359806499507421,0,0,1,0.6851063829787234,0.3702127659574468,0.19042553191489361,0.47595744680851065,0.7853191489361702,estavel,0.47595744680851065,0.5984299004074242
BWEN,consumer_discretionary,1.0,1.197322352000742,0.8422780701929915,0.25252539178293815,0.25252539178293815,-0.00218968899177735,-0.04904700533301165,2,7,13,1.0,0.30425531914893617,0.8723404255319149,0.7309574468085107,0.4519148936170213,transicao,0.7309574468085107,0.2867496152105025
BX,consumer_discretionary,1.0,0.33087721313605656,0.3863019449014581,0.6219962880014435,0.6219962880014435,0.010930845556303637,0.0031321541958309607,5,7,9,0.6106382978723405,0.9680851063829787,0.8723404255319149,0.7880851063829788,0.37446808510638296,instavel,0.7880851063829788,0.22691172476233587
CABO,consumer_discretionary,1.0,0.6654964569507608,0.8440956269973805,0.39454946071699976,0.39454946071699976,-0.034117396009945955,0.005557349082850216,1,7,7,0.9574468085106383,0.6106382978723405,0.8723404255319149,0.8190425531914894,0.19829787234042562,instavel,0.8190425531914894,0.11709067451335449
CELH,consumer_discretionary,1.0,0.45240744870742244,0.6379435796231587,0.2442562566984942,0.2442562566984942,0.020510161446153585,0.009021506165640736,0,2,9,0.8297872340425532,0.2936170212765957,0.5574468085106383,0.5876595744680851,0.4902127659574468,transicao,0.5876595744680851,0.3461736532367587
CHTR,consumer_discretionary,1.0,0.38105537568679304,0.4156125399126086,0.3920271321311937,0.3920271321311937,0.021054636800560855,0.0020953874398002004,1,1,14,0.7212765957446808,0.6042553191489362,0.44468085106382976,0.625,0.5510638297872341,transicao,0.625,0.3788563829787235
CMG,consumer_discretionary,1.0,0.3280752227692733,0.403977960380863,0.4365690270157899,0.4365690270157899,0.017788093186060894,0.010144276352776704,0,0,1,0.6021276595744681,0.7021276595744681,0.19042553191489361,0.5547872340425531,0.7317021276595744,estavel,0.5547872340425531,0.5287326278859212
CPRT,consumer_discretionary,1.0,0.2624045192826333,0.26200239556072763,0.35828560087044276,0.35828560087044276,0.05141326696322834,0.04384647664821276,0,0,5,0.37659574468085105,0.5319148936170213,0.19042553191489361,0.39372340425531915,0.5487234042553191,transicao,0.39372340425531915,0.44070078089633313
CTLP,consumer_discretionary,1.0,0.09684351438618166,0.3217733529410647,0.17875257401571087,0.17875257401571087,0.0036937522388512944,0.013180721198717105,0,0,9,0.006382978723404255,0.1829787234042553,0.19042553191489361,0.105,0.85,estavel,0.105,0.805375
CXDO,consumer_discretionary,1.0,0.501048705821373,0.6274049996961487,0.5021436922795441,0.5021436922795441,0.019878349966912512,-0.041275450586559015,0,0,0,0.8702127659574468,0.8212765957446808,0.19042553191489361,0.717127659574468,0.7146808510638298,transicao,0.717127659574468,0.45842214803078324
DHI,consumer_discretionary,1.0,0.38933758927184725,0.3811891302213827,0.5213322301150708,0.5213322301150708,-0.053062310360431186,0.015134029445694808,0,0,6,0.7489361702127659,0.8489361702127659,0.19042553191489361,0.6722340425531914,0.5419148936170213,transicao,0.6722340425531914,0.35976807378904485
EBAY,consumer_discretionary,1.0,0.31268471328536435,0.3779954854914706,0.2992521818374389,0.2992521818374389,0.009515080968616696,0.016184766177175125,0,0,1,0.5553191489361702,0.4,0.19042553191489361,0.4279787234042553,0.7980851063829787,estavel,0.4279787234042553,0.6273033838841104
EL,consumer_discretionary,1.0,0.5494347523327919,0.5006802935226646,0.44475153401976025,0.44475153401976025,-0.0029069258961034183,0.003402692471981883,5,5,6,0.9106382978723404,0.7127659574468085,0.776595744680851,0.8145744680851064,0.5051063829787235,instavel,0.8145744680851064,0.2993830013580806
EXAS,consumer_discretionary,1.0,0.5335018643659182,0.44489266389165116,0.0070315569928187105,0.0070315569928187105,0.0021224841256141345,-0.0017649532711413451,0,0,1,0.8957446808510638,0.00851063829787234,0.19042553191489361,0.4441489361702128,0.8619148936170213,estavel,0.4441489361702128,0.6705056020823903
