date,P,J,L,D
2010-03-31,93.82044446,0.03747471428571429,,
2010-04-30,93.92775058,0.036338,,
2010-05-31,94.97189043,0.036264444444444446,0.0,
2010-06-30,95.9978928,0.037591125,-0.16366245732872817,
2010-07-31,98.74088392,0.03656857142857143,-0.5135765311753885,
2010-08-31,100.0,0.0366583,-0.5228068969007951,
2010-09-30,102.04613251,0.03707288888888889,-0.5673576583625445,
2010-10-31,102.49046609,0.037586625,-0.41234111713811594,
2010-11-30,102.67452874,0.036677125,-0.24953908268281927,
2010-12-31,101.8052342,0.035772125,0.20851443999893982,
2011-01-31,101.43784251,0.04368411111111111,0.26312347273282755,
2011-02-28,102.14906664,0.043664,-0.029473005776926346,
2011-03-31,104.09767133,0.04367725,-0.3075277626446803,
2011-04-30,106.1501647,0.04378644444444444,-0.48345870292403675,
2011-05-31,108.55054835,0.043894,-0.5658683821163237,
2011-06-30,111.18825442,0.04366825,-0.5848353876958713,
2011-07-31,113.7636678,0.043112375,-0.595799659179257,
2011-08-31,116.15955967,0.043895500000000004,-0.5909949065842409,
2011-09-30,117.84656579,0.043895500000000004,-0.5549126392522641,
2011-10-31,119.24492744,0.0437835,-0.49470254870690306,
2011-11-30,119.87651023,0.04378644444444444,-0.33893582057746063,
2011-12-31,120.56625262,0.04378414285714286,-0.1595271611516753,
2012-01-31,121.03741182,0.0327205,0.1853136895114164,
2012-02-29,121.9821814,0.03505225,0.0426783760293887,
2012-03-31,122.70528212,0.03297944444444444,0.03428405383272204,
2012-04-30,122.79105205,0.032422625,0.22147873137302238,
2012-05-31,125.72043413,0.03246477777777777,-0.32044722857157365,
2012-06-30,129.03217823,0.03297033333333334,-0.515915918206358,
2012-07-31,133.45337704,0.032876833333333334,-0.6319168290997814,
2012-08-31,135.28280652,0.032493714285714285,-0.6078956897793794,
2012-09-30,135.92278317,0.03389811111111111,-0.5259161043144489,
2012-10-31,134.49869712,0.03297944444444444,-0.29403240283761706,
2012-11-30,133.14167112,0.032302375,-0.22054085555568376,
2012-12-31,133.95886096,0.0324135,-0.2514822892153409,
2013-01-31,138.48000128,0.030537285714285715,-0.5105409234100531,
2013-02-28,142.29392251,0.031296625,-0.5874804324398809,
2013-03-31,141.3976763,0.03106725,-0.5880046578032161,
2013-04-30,141.0452768,0.0310419,-0.3988971046088324,
2013-05-31,141.78312246,0.03125911111111111,0.25160037327680873,
2013-06-30,142.74059394,0.031509999999999996,0.21834485656551983,
2013-07-31,144.01153765,0.030229375,-0.09659268662964775,
2013-08-31,144.29015083,0.029924111111111113,0.03666791629128698,
2013-09-30,146.66680208,0.031296625,-0.2638146538459525,
2013-10-31,148.72969882,0.0312945,-0.35027813635162813,
2013-11-30,151.58974457,0.031872111111111115,-0.5092798207441994,
2013-12-31,152.84285092,0.031997625,-0.4503457190551048,
2014-01-31,153.47986864,0.04106283333333333,-0.33861602420492964,
2014-02-28,154.72590111,0.040613500000000004,-0.08498630755350407,
2014-03-31,156.91374094,0.040663000000000005,-0.24563052151088066,
2014-04-30,159.07242867,0.041285125,-0.39530577441573655,
2014-05-31,160.79320906,0.04117325,-0.4240630475675364,
2014-06-30,161.75565773,0.040389375000000005,-0.3216723869597327,
2014-07-31,162.92614873,0.04046422222222222,-0.18981268909216908,
2014-08-31,163.04705789,0.040948125,0.25601306288112335,
2014-09-30,163.18815489,0.040948125,0.8717419045027999,
2014-10-31,163.23440068,0.0407917,7.037765217224884,
2014-11-30,164.17321691,0.041161,1.344620417358554,
2014-12-31,165.07117985,0.04117325,0.4833981820089724,
2015-01-31,167.43247754,0.05078283333333333,-0.2257936249554831,
2015-02-28,166.99308747,0.048829111111111115,-0.14454698013130476,
2015-03-31,166.54341048,0.050121874999999996,-0.05069566211866351,
2015-04-30,169.24802118,0.05002671428571429,-0.11864703875203408,
2015-05-31,170.41976854,0.049243625,-0.23322245559681232,
2015-06-30,170.84806312,0.04902533333333334,-0.22920334456508543,
2015-07-31,171.14231065,0.049776571428571434,0.5233816894025863,
2015-08-31,171.95503575,0.049903,0.8454618045203041,
2015-09-30,172.79690601,0.049551,0.49899713337794555,
2015-10-31,173.67679659,0.050196777777777785,0.20023306796110774,
2015-11-30,174.02268134,0.050342625,0.4321979675808458,
2015-12-31,174.96227278,0.048774,0.38220570705134166,
2016-01-31,175.46985165,0.052240555555555554,0.6354712470687124,
2016-02-29,175.19758872,0.052282,0.6998995119001816,
2016-03-31,173.79766152,0.05240657142857143,0.38599008202888263,
2016-04-30,173.56133189,0.05243422222222222,0.5547209608053248,
2016-05-31,173.43278315,0.05233733333333333,0.6641903772819527,
2016-06-30,174.81907429,0.052313125,0.6637988738735667,
2016-07-31,175.7177258,0.05220425,0.26287730092344236,
2016-08-31,176.90456768,0.052240555555555554,-0.06082725590566937,
2016-09-30,176.91188307,0.05215757142857143,0.4367053039360097,
2016-10-31,176.9636055,0.05240657142857143,1.28759471247115,
2016-11-30,176.51212559,0.05243422222222222,4.337155845844311,
2016-12-31,176.43208887,0.052313125,3.6946945874427675,
2017-01-31,175.00410195,0.03688657142857143,0.5306150626093656,
2017-02-28,173.45915317,0.04151885714285714,0.04718399161647711,
2017-03-31,171.78862005,0.04049755555555556,-0.24829861469992284,
2017-04-30,170.86880522,0.038194375,-0.18394097254391772,
2017-05-31,171.1481651,0.038647,0.08602912366091316,
2017-06-30,172.12899426,0.0389224,0.36000884380086795,
2017-07-31,171.94947666,0.038186,0.9585809600597125,
2017-08-31,171.17619388,0.03683225,0.5101277281872052,
2017-09-30,169.77229172,0.039870625,0.2732214416056116,
2017-10-31,170.44417716,0.04049755555555556,0.08408444167628965,
2017-11-30,170.54741263,0.03750625,0.3559293308565272,
2017-12-31,170.5283764,0.03856371428571429,2.3685258051601807,
2018-01-31,169.98689233,0.0250855,3.0063326438574327,
2018-02-28,169.39599315,0.02520175,1.388205876760268,
2018-03-31,169.05078836,0.024852625,0.9015602545959055,
2018-04-30,168.68933799,0.024852625,1.1331702642740449,
2018-05-31,169.35034189,0.0250854,1.0271431069793155,
2018-06-30,169.02373374,0.024930333333333332,1.0522418447505875,
2018-07-31,169.02797039,0.025018999999999996,1.7212356713076558,
2018-08-31,168.5501036,0.025085625,2.298187299760203,
2018-09-30,168.36898631,0.02503388888888889,2.9731992743619684,
2018-10-31,167.37695723,0.024852625,0.7088634307935168,
2018-11-30,167.04374976,0.024852625,0.8504364898951419,
2018-12-31,166.69664029,0.024969125,0.683440993210363,
2019-01-31,166.69880121,0.02301257142857143,2.8298077775043153,
2019-02-28,167.10429067,0.022979875,2.47482932361032,
2019-03-31,166.40376802,0.023213499999999998,1.4297205736700027,
2019-04-30,166.20297803,0.022743666666666666,1.088791767361366,
2019-05-31,165.26978605,0.022744,0.5409226345226742,
2019-06-30,165.11957752,0.022744,1.1135513093656364,
2019-07-31,164.9910524,0.023213499999999998,1.2261949969326833,
2019-08-31,164.5432472,0.023369777777777778,2.5657759207202413,
2019-09-30,163.66848055,0.022979875,0.878379999478799,
2019-10-31,160.6068945,0.023213499999999998,-0.2521490304888466,
2019-11-30,157.78121162,0.022931299999999998,-0.4508154721538719,
2019-12-31,153.24334053,0.022741777777777777,-0.5794576016489059,
2020-01-31,152.05049704,0.0094035,-0.5333878348744829,
2020-02-29,151.9235437,0.011205875,-0.41035393132186976,
2020-03-31,151.42069238,0.0115178,0.4374613888115395,
2020-04-30,151.05931717,0.011205875,1.4660711198070535,
2020-05-31,150.93241853,0.011739714285714286,1.4642920676333262,
2020-06-30,151.17627808,0.012074,2.2587614377414074,
2020-07-31,151.89359387,0.011205875,1.2548195018364419,
2020-08-31,152.61268295,0.010606875,0.5310538271312994,
2020-09-30,153.40273313,0.010790666666666665,0.20579362221594139,
2020-10-31,154.61134064,0.011002888888888888,0.02726772040552709,
2020-11-30,155.70346293,0.010499285714285713,-0.0694096172592112,
2020-12-31,157.44170098,0.011650333333333332,-0.23873265577545721,
2021-01-31,157.23999321,0.017428,-0.046302978324515125,
2021-02-28,156.91417514,0.015666714285714287,0.21548678551455525,
2021-03-31,156.22356739,0.017128,1.107566846843362,
2021-04-30,156.12373334,0.014391875,1.2804187764766388,
2021-05-31,157.08260125,0.01468611111111111,0.5206158320110653,
2021-06-30,158.22025508,0.017507125,0.2515192378068956,
2021-07-31,160.09037388,0.016209428571428573,-0.21836220050650113,
2021-08-31,161.39529262,0.016432099999999998,-0.2618834717235317,
2021-09-30,162.33235553,0.01762088888888889,-0.23146496100263242,
2021-10-31,163.69795151,0.018167625,-0.14368373099647175,
2021-11-30,164.94217608,0.01522725,-0.12693244499714315,
2021-12-31,166.17181185,0.01392225,-0.17476827917480633,
2022-01-31,167.35945707,0.047025625,-0.13869738210470198,
2022-02-28,169.33478497,0.045221142857142856,-0.24517306625639682,
2022-03-31,171.71703935,0.044589500000000004,-0.3578592033756419,
2022-04-30,172.83342546,0.04488488888888889,-0.3488838734016593,
2022-05-31,173.42748839,0.0472445,-0.18897445095539236,
2022-06-30,173.76772208,0.046805875,0.44044183079103,
2022-07-31,174.83689826,0.04527822222222222,0.47808009972733834,
2022-08-31,175.94947483,0.047060333333333336,0.21822867426787865,
2022-09-30,176.6951331,0.04725575,0.07886283059991978,
2022-10-31,177.69212441,0.045250875,0.10672213864193895,
2022-11-30,178.82151494,0.04527822222222222,0.10715168569500558,
2022-12-31,179.94751919,0.04673828571428572,0.004198671640323863,
2023-01-31,181.25508869,0.049283,-0.06199402229653933,
2023-02-28,181.7482387,0.05028671428571429,0.10447101087966407,
2023-03-31,182.54693081,0.04961744444444444,0.22511877908312947,
2023-04-30,183.26002773,0.04925225,0.5399341828488087,
2023-05-31,184.45110116,0.049471125,0.1959099294218523,
2023-06-30,186.38499915,0.049207,-0.096665545636634,
2023-07-31,187.85376841,0.04903071428571428,-0.21031317088232201,
2023-08-31,188.77529067,0.04878057142857143,-0.1693935666424797,
2023-09-30,188.66853184,0.049471125,0.3048100243981664,
2023-10-31,188.93974131,0.04961744444444444,1.3419881967290488,
2023-11-30,189.38717817,0.04925225,2.589061068458321,
2023-12-31,189.613888,0.04978428571428571,2.1604982296735726,
2024-01-31,189.81180369,0.040422571428571426,2.4138932073695827,
2024-02-29,190.86827995,0.040663,1.0947347879215947,
2024-03-31,192.31781724,0.04050125,0.23802464511879073,
2024-04-30,194.10340369,0.040663,-0.14591503037569772,
2024-05-31,195.2392564,0.0407026,-0.15423859234839216,
2024-06-30,196.8532777,0.040502125,-0.17301595457580957,
2024-07-31,199.12415737,0.040678142857142864,-0.22871795068891462,
2024-08-31,202.38445769,0.04096155555555556,-0.3971322997867652,
2024-09-30,204.61075473,0.04056322222222222,-0.42598211017013,
2024-10-31,206.23690331,0.040389,-0.38719242531883424,
2024-11-30,208.29315942,0.04086177777777778,-0.29406814479314486,
2024-12-31,211.39563839,0.041157111111111117,-0.35503925493108746,
2025-01-31,214.17184615,0.054697666666666665,-0.4168225296254098,
2025-02-28,215.25175931,0.053170625,-0.3585598134165636,
2025-03-31,215.83496167,0.05300022222222222,-0.09646395568285329,
