date,P,J,L,D
2009-04-30,82.93093719,0.0378935,,
2009-05-31,83.70508892,0.0401305,,
2009-06-30,84.00955158,0.03993522222222222,-0.07459902501690091,
2009-07-31,85.12967523,0.037827,-0.23643843424714509,
2009-08-31,86.01903338,0.037899375,-0.2550957995574762,
2009-09-30,87.60883019,0.0392344,-0.4101012780400844,
2009-10-31,89.83011771,0.0374365,-0.47350529157824617,
2009-11-30,91.78736221,0.03782028571428571,-0.5120282232194829,
2009-12-31,92.98502315,0.039877142857142854,-0.49538276179757673,
2010-01-31,93.20414122,0.03707288888888889,-0.3710791396191072,
2010-02-28,93.66732618,0.03721800000000001,-0.10254957599448623,
2010-03-31,93.98385124,0.03747471428571429,0.43368456736096705,
2010-04-30,93.80591498,0.036338,0.4847815939689622,
2010-05-31,94.49472905,0.036264444444444446,0.2626097956034249,
2010-06-30,96.35204215,0.037591125,-0.2776052396724686,
2010-07-31,98.46495299,0.03656857142857143,-0.4491023211213086,
2010-08-31,100.0,0.0366583,-0.48477439328062855,
2010-09-30,100.56371682,0.03707288888888889,-0.4160303135735406,
2010-10-31,101.6697034,0.037586625,-0.32092451454416343,
2010-11-30,103.44689513,0.036677125,-0.34172867339066554,
2010-12-31,106.35139176,0.035772125,-0.4824581368950705,
2011-01-31,108.70927286,0.04368411111111111,-0.5177538384247444,
2011-02-28,111.59663702,0.043664,-0.5388757564587964,
2011-03-31,114.86572854,0.04367725,-0.5413323283966647,
2011-04-30,118.50944728,0.04378644444444444,-0.5582459331401267,
2011-05-31,121.40668963,0.043894,-0.5548295684865441,
2011-06-30,123.26502298,0.04366825,-0.5271217397775179,
2011-07-31,125.17455968,0.043112375,-0.47738569697227007,
2011-08-31,125.95934468,0.043895500000000004,-0.3699779381530591,
2011-09-30,126.86255732,0.043895500000000004,-0.27818517004527904,
2011-10-31,127.70740309,0.0437835,-0.0944389376215721,
2011-11-30,129.55038272,0.04378644444444444,-0.2682704579068729,
2011-12-31,130.52464118,0.04378414285714286,-0.27350210590300056,
2012-01-31,131.1512503,0.0327205,-0.24411924947781205,
2012-02-29,133.15734114,0.03505225,-0.2582802988152513,
2012-03-31,136.57748383,0.03297944444444444,-0.4321103859155185,
2012-04-30,139.92591248,0.032422625,-0.5116703107701384,
2012-05-31,140.52583096,0.03246477777777777,-0.4743457353550438,
2012-06-30,140.23665735,0.03297033333333334,-0.30434325604442153,
2012-07-31,138.58290532,0.032876833333333334,-0.02933328033386136,
2012-08-31,138.34506841,0.032493714285714285,0.08083168350624659,
2012-09-30,138.47238974,0.03389811111111111,0.1420919032510093,
2012-10-31,139.88259785,0.03297944444444444,0.24727249344801464,
2012-11-30,141.31043685,0.032302375,-0.12867009716251812,
2012-12-31,142.85519829,0.0324135,-0.310116208324318,
2013-01-31,144.74239082,0.030537285714285715,-0.3441502824903099,
2013-02-28,146.47429245,0.031296625,-0.36130031114968786,
2013-03-31,148.17733754,0.03106725,-0.36763056355341867,
2013-04-30,149.70815729,0.0310419,-0.3397238088941108,
2013-05-31,149.56883116,0.03125911111111111,-0.1677779130794893,
2013-06-30,149.06218823,0.031509999999999996,0.12950718633194683,
2013-07-31,145.41637096,0.030229375,-0.27593071047042633,
2013-08-31,145.00378204,0.029924111111111113,-0.3020576700444242,
2013-09-30,147.04395795,0.031296625,-0.40389398738358206,
2013-10-31,152.54479086,0.0312945,-0.47364041014049,
2013-11-30,155.96575489,0.031872111111111115,-0.5326873747566634,
2013-12-31,156.64517085,0.031997625,-0.5079113495563802,
2014-01-31,157.14683938,0.04106283333333333,-0.29287456674079526,
2014-02-28,157.80126703,0.040613500000000004,0.33558567988785654,
2014-03-31,158.65512995,0.040663000000000005,0.25041401133330143,
2014-04-30,159.05482796,0.041285125,0.3038923641537693,
2014-05-31,159.69924655,0.04117325,0.3133142575341664,
2014-06-30,160.55685401,0.040389375000000005,0.31676860914381133,
2014-07-31,162.28896766,0.04046422222222222,-0.09771874931434278,
2014-08-31,163.96320886,0.040948125,-0.23937811288199604,
2014-09-30,165.78320225,0.040948125,-0.3206887422538099,
2014-10-31,167.33920389,0.0407917,-0.30358339664009143,
2014-11-30,168.99752834,0.041161,-0.29833069631783593,
2014-12-31,169.96660156,0.04117325,-0.21299995507081573,
2015-01-31,170.68824723,0.05078283333333333,-0.08809264136357181,
2015-02-28,171.1396129,0.048829111111111115,0.2619294565118644,
2015-03-31,171.17809927,0.050121874999999996,1.003691817928336,
2015-04-30,171.92300993,0.05002671428571429,0.9787778156081669,
2015-05-31,172.14060004,0.049243625,1.3739247780584638,
2015-06-30,172.19684319,0.04902533333333334,1.3384692314676971,
2015-07-31,171.9496824,0.049776571428571434,3.296578768029181,
2015-08-31,171.42311144,0.049903,1.8104130572292498,
2015-09-30,171.49850487,0.049551,1.7530351170287588,
2015-10-31,170.9957777,0.050196777777777785,1.1837090249016464,
2015-11-30,170.55065966,0.050342625,1.328168101389489,
2015-12-31,169.96110185,0.048774,0.6490508536501041,
2016-01-31,170.25175179,0.052240555555555554,0.860450616274673,
2016-02-29,170.36773707,0.052282,1.3718138792949577,
2016-03-31,170.88771179,0.05240657142857143,1.5255021653362393,
2016-04-30,171.26199987,0.05243422222222222,1.3454859373868335,
2016-05-31,171.71326528,0.05233733333333333,0.8392534505219039,
2016-06-30,172.39846388,0.052313125,0.6758577676994261,
2016-07-31,173.425652,0.05220425,0.2650445705434393,
2016-08-31,174.66882205,0.052240555555555554,0.010446001437554359,
2016-09-30,175.45688661,0.05215757142857143,-0.010446001437554359,
