date,price,log_price,r
2017-08-28,113.99,4.736110725248687,-0.0023658280476297477
2017-08-29,113.08,4.72809553282539,-0.00801519242329718
2017-08-30,112.99,4.727299319221155,-0.0007962136042349854
2017-08-31,114.61,4.741535060508608,0.014235741287452974
2017-09-01,115.45,4.748837535800504,0.0073024752918966485
2017-09-05,113.13,4.728537599938376,-0.02029993586212875
2017-09-06,112.09,4.719302120033004,-0.009235479905371768
2017-09-07,114.02,4.736373871603436,0.01707175157043217
2017-09-08,114.89,4.743975148865274,0.00760127726183768
2017-09-11,115.77,4.751605464217637,0.007630315352363581
2017-09-12,117.74,4.768478803600115,0.016873339382478036
2017-09-13,114.29,4.738739077909506,-0.02973972569060912
2017-09-14,113.46,4.731450351898421,-0.007288726011084989
2017-09-15,113.3,4.730039168033961,-0.0014111838644605967
2017-09-18,113.15,4.728714372079547,-0.0013247959544138155
2017-09-19,113.81,4.734530391293799,0.005816019214251789
2017-09-20,114.29,4.738739077909506,0.004208686615707613
2017-09-21,115.3,4.747537427275013,0.00879834936550683
2017-09-22,117.42,4.76575725063604,0.018219823361026677
2017-09-25,116.01,4.753676394287315,-0.012080856348724467
2017-09-26,115.19,4.746582938938415,-0.007093455348900157
2017-09-27,115.76,4.751519082323228,0.004936143384813185
2017-09-28,116.97,4.761917491662616,0.010398409339387626
2017-09-29,116.9,4.761318868478023,-0.0005986231845929169
2017-10-02,116.98,4.76200298001488,0.0006841115368567685
2017-10-03,118.51,4.774997345200357,0.012994365185477363
2017-10-04,120.14,4.788657729422015,0.013660384221657829
2017-10-05,121.1,4.796616650559047,0.007958921137031894
2017-10-06,121.28,4.7981019218940615,0.0014852713350146374
2017-10-09,121.54,4.800243426707209,0.0021415048131476766
2017-10-10,121.92,4.803365091938336,0.003121665231127224
2017-10-11,121.88,4.803036954117508,-0.0003281378208281893
2017-10-12,122.73,4.809986820609417,0.006949866491908985
2017-10-13,122.09,4.804758477680764,-0.005228342928653262
2017-10-16,123.48,4.8160791996339585,0.011320721953194557
2017-10-17,122.45,4.8077027833981765,-0.008376416235782003
2017-10-18,122.59,4.808845454106903,0.0011426707087265342
2017-10-19,122.0,4.804021044733257,-0.0048244093736462546
2017-10-20,122.0,4.804021044733257,0.0
2017-10-23,121.7,4.801558999993482,-0.00246204473977496
2017-10-24,120.45,4.79123472906088,-0.010324270932601465
2017-10-25,118.54,4.775250456359692,-0.015984272701188296
2017-10-26,120.25,4.78957290898587,0.014322452626178261
2017-10-27,120.0,4.787491742782046,-0.0020811662038244805
2017-10-30,117.65,4.767714115173372,-0.019777627608673853
2017-10-31,117.36,4.765246133834726,-0.002467981338646119
2017-11-01,117.59,4.767203997835324,0.001957864000598164
2017-11-02,125.42,4.831668105114875,0.06446410727955065
2017-11-03,126.04,4.836599316889074,0.004931211774199085
2017-11-06,127.7,4.8496837630384935,0.013084446149419726
2017-11-07,125.98,4.836123164193783,-0.013560598844710725
2017-11-08,127.1,4.844974178195408,0.008851014001625579
2017-11-09,127.88,4.851092324191641,0.006118145996232727
2017-11-10,125.02,4.828473724503667,-0.022618599687974417
2017-11-13,125.46,4.831986982668597,0.0035132581649301997
2017-11-14,125.12,4.829273276797001,-0.0027137058715958062
2017-11-15,124.23,4.822134686225586,-0.007138590571415193
2017-11-16,125.38,4.831349125845822,0.00921443962023627
2017-11-17,126.58,4.840874519347159,0.009525393501337298
2017-11-20,127.19,4.845682031463393,0.0048075121162334256
2017-11-21,127.5,4.848116364598481,0.002434333135088451
2017-11-22,127.5,4.848116364598481,0.0
2017-11-24,128.9,4.859036909945142,0.01092054534666076
2017-11-27,128.75,4.857872539543846,-0.0011643704012964662
2017-11-28,129.35,4.862521908632038,0.004649369088192579
2017-11-29,127.73,4.849918661054685,-0.01260324757735276
2017-11-30,128.7,4.857484114602081,0.007565453547395684
2017-12-01,128.95,4.859424732327354,0.0019406177252729861
2017-12-04,127.57,4.848665233550198,-0.010759498777155763
2017-12-05,128.36,4.8548388162416565,0.006173582691458179
2017-12-06,128.0,4.852030263919617,-0.0028085523220395814
2017-12-07,128.21,4.853669544564609,0.0016392806449925246
2017-12-08,127.71,4.849762068508171,-0.003907476056438597
2017-12-11,128.34,4.8546829923223696,0.00492092381419873
2017-12-12,128.0,4.852030263919617,-0.0026527284027526576
2017-12-13,127.29,4.846467947882343,-0.005562316037273973
2017-12-14,127.55,4.848508444587821,0.002040496705477679
2017-12-15,127.93,4.851483239328943,0.0029747947411227216
2017-12-18,127.28,4.846389384029531,-0.005093855299412198
2017-12-19,126.97,4.8439508380817005,-0.0024385459478306615
2017-12-20,128.16,4.853279483320049,0.009328645238348976
2017-12-21,128.62,4.856862320706717,0.0035828373866673147
2017-12-22,128.33,4.85460507125637,-0.0022572494503467766
2017-12-26,125.6,4.833102254034098,-0.021502817222271986
2017-12-27,125.47,4.832066686171609,-0.0010355678624893727
2017-12-28,126.38,4.83929324134531,0.007226555173700966
2017-12-29,126.54,4.840558463718739,0.0012652223734290757
2018-01-02,127.68,4.849527133701499,0.008968669982760247
2018-01-03,129.62,4.86460709299957,0.015079959298071266
2018-01-04,131.66,4.88022284203973,0.015615749040160054
2018-01-05,133.03,4.890574666695814,0.010351824656083863
2018-01-08,133.21,4.891926830363372,0.0013521636675575266
2018-01-09,134.1,4.898585790287632,0.006658959924260799
2018-01-10,133.75,4.8959723857761155,-0.0026134045115169258
2018-01-11,134.76,4.903495418538352,0.007523032762236426
2018-01-12,135.89,4.911845734932406,0.008350316394054147
2018-01-16,134.33,4.900299459074922,-0.011546275857484467
2018-01-17,135.8,4.911183215124596,0.010883756049674176
2018-01-18,136.82,4.918666193332852,0.0074829782082561636
2018-01-19,138.25,4.929063640402444,0.010397447069592225
2018-01-22,139.27,4.936414495065001,0.007350854662556472
2018-01-23,140.1,4.942356453342962,0.005941958277960957
2018-01-24,138.07,4.927760802928061,-0.014595650414900518
2018-01-25,137.86,4.926238677457506,-0.0015221254705553022
2018-01-26,140.57,4.945705585343674,0.01946690788616845
2018-01-29,138.05,4.927615938376164,-0.018089646967510475
2018-01-30,138.3,4.929425238670713,0.0018093002945489545
2018-01-31,139.23,4.936127241921194,0.006702003250481425
2018-02-01,146.32,4.98579600408261,0.04966876216141625
2018-02-02,142.53,4.95955250386694,-0.02624350021567068
2018-02-05,135.68,4.910299172043593,-0.04925333182334679
2018-02-06,138.89,4.9336822529281275,0.023383080884534557
2018-02-07,139.76,4.939926665825801,0.006244412897673968
2018-02-08,133.81,4.896420883316898,-0.04350578250890358
2018-02-09,136.48,4.916178083743369,0.019757200426471222
2018-02-12,137.53,4.9238420751266165,0.00766399138324747
2018-02-13,140.59,4.945847853091816,0.02200577796519987
2018-02-14,145.65,4.981206483405444,0.035358630313627515
2018-02-15,148.23,4.998765121525769,0.017558638120324765
2018-02-16,145.0,4.976733742420574,-0.022031379105194482
2018-02-20,144.38,4.972448712711015,-0.0042850297095595735
2018-02-21,142.79,4.961375019442204,-0.011073693268810914
2018-02-22,142.87,4.9619351258770665,0.0005601064348628171
2018-02-23,144.99,4.976664774525102,0.01472964864803572
2018-02-26,144.42,4.972725721023036,-0.003939053502066692
2018-02-27,142.84,4.961725122726247,-0.011000598296788233
2018-02-28,141.52,4.95244104985153,-0.009284072874716998
2018-03-01,142.65,4.960394077659509,0.007953027807978685
2018-03-02,143.32,4.965079892436753,0.004685814777244168
2018-03-05,145.93,4.983127054679654,0.018047162242901038
2018-03-06,148.99,5.003879189599248,0.0207521349195936
2018-03-07,148.3,4.999237249143887,-0.004641940455361038
2018-03-08,150.58,5.014494504421976,0.01525725527808941
2018-03-09,153.12,5.031221927704644,0.016727423282667964
2018-03-12,154.05,5.037277225042677,0.0060552973380332276
2018-03-13,151.64,5.021509290648134,-0.01576793439454338
2018-03-14,154.43,5.03974091923491,0.018231628586775628
2018-03-15,154.95,5.043102484233757,0.003361564998847655
2018-03-16,154.98,5.043296076335804,0.00019359210204683563
2018-03-19,155.38,5.045873729522275,0.002577653186470741
2018-03-20,158.08,5.063101233999558,0.017227504477283162
2018-03-21,158.26,5.064239250181047,0.001138016181489121
2018-03-22,156.13,5.050688993553429,-0.013550256627618218
2018-03-23,154.07,5.037407044593683,-0.013281948959745549
2018-03-26,158.67,5.066826573745998,0.029419529152314716
2018-03-27,154.04,5.0372123089467085,-0.029614264799289636
2018-03-28,150.55,5.014295254927743,-0.02291705401896582
2018-03-29,149.47,5.007095703797723,-0.007199551130019799
2018-04-02,145.94,4.983195578337474,-0.023900125460248667
2018-04-03,145.71,4.981618345025764,-0.0015772333117105575
2018-04-04,146.7,4.9883896851489355,0.006771340123171932
2018-04-05,146.51,4.987093685513222,-0.001295999635713585
2018-04-06,144.05,4.970160461530537,-0.01693322398268471
2018-04-09,146.63,4.987912406988988,0.017751945458450713
2018-04-10,149.05,5.00428182012408,0.016369413135092437
2018-04-11,148.25,4.998900037877835,-0.005381782246245415
2018-04-12,149.3,5.005957704545144,0.007057666667309448
2018-04-13,147.61,4.994573660548905,-0.011384043996239157
2018-04-16,149.18,5.005153630527017,0.010579969978111947
2018-04-17,150.12,5.0114349742668205,0.006281343739803269
2018-04-18,150.43,5.013497859709733,0.0020628854429123322
2018-04-19,150.0,5.0106352940962555,-0.002862565613477308
2018-04-20,149.59,5.007898218386369,-0.0027370757098861276
2018-04-23,150.0,5.0106352940962555,0.0027370757098861276
2018-04-24,147.69,4.9951154824382185,-0.015519811658037064
2018-04-25,149.21,5.00535470965233,0.010239227214111857
2018-04-26,149.6,5.007965065540377,0.0026103558880468114
2018-04-27,150.2,5.011967739330034,0.0040026737896567965
2018-04-30,149.83,5.009501318055053,-0.002466421274981201
2018-05-01,150.66,5.015025642397549,0.0055243243424962785
2018-05-02,150.44,5.013564333602136,-0.0014613087954131743
2018-05-03,149.2,5.005287687769661,-0.008276645832475005
2018-05-04,152.13,5.0247354184750375,0.019447730705376642
2018-05-07,154.92,5.0429088546465515,0.018173436171514012
2018-05-08,155.31,5.04542311958192,0.0025142649353684376
2018-05-09,156.63,5.053886336090571,0.008463216508650895
2018-05-10,159.85,5.074235875505851,0.02034953941527995
2018-05-11,160.97,5.081218012218138,0.006982136712287534
2018-05-14,160.54,5.078543132703431,-0.002674879514707129
2018-05-15,158.71,5.067078637519467,-0.011464495183964196
2018-05-16,158.32,5.064618301294311,-0.00246033622515629
2018-05-17,156.76,5.05471597333143,-0.009902327962880264
2018-05-18,156.2,5.051137237405586,-0.0035787359258447893
2018-05-21,157.99,5.062531739884758,0.011394502479172175
2018-05-22,156.53,5.053247684900132,-0.009284054984625811
2018-05-23,158.36,5.06487092223793,0.011623237337797576
2018-05-24,159.13,5.0697214782220925,0.004850555984162952
2018-05-25,159.34,5.07104028395222,0.001318805730127437
2018-05-29,158.88,5.068149200296863,-0.002891083655357285
2018-05-30,161.99,5.0875346049320465,0.01938540463518379
2018-05-31,162.57,5.091108678246132,0.0035740733140858794
2018-06-01,163.4,5.096201182425903,0.005092504179770252
2018-06-04,163.48,5.096690658696076,0.0004894762701734834
2018-06-05,163.71,5.09809656986625,0.001405911170174079
2018-06-06,165.45,5.1086690343676215,0.010572464501371392
2018-06-07,165.22,5.10727791913436,-0.0013911152332619636
2018-06-08,166.29,5.113733252099823,0.006455332965463079
2018-06-11,166.49,5.114935247556761,0.0012019954569382207
2018-06-12,169.74,5.134267854541531,0.01933260698477035
2018-06-13,172.2,5.14865659199363,0.014388737452098788
2018-06-14,172.35,5.149527292962874,0.0008707009692443535
2018-06-15,172.75,5.151845462647779,0.002318169684905058
2018-06-18,171.58,5.145049630144819,-0.006795832502960231
2018-06-19,171.76,5.1460981535705255,0.0010485234257062714
2018-06-20,171.71,5.145807007325711,-0.00029114624481429985
2018-06-21,170.76,5.140259061889761,-0.005547945435949941
2018-06-22,170.63,5.139497469539173,-0.0007615923505879252
2018-06-25,168.56,5.127291769495933,-0.012205700043240064
2018-06-26,166.33,5.113973766802443,-0.013318002693489817
2018-06-27,163.55,5.097118753984393,-0.01685501281805024
2018-06-28,164.61,5.103579039738994,0.006460285754601003
2018-06-29,165.43,5.108548144618925,0.004969104879930519
2018-07-02,167.14,5.11883178457329,0.01028363995436532
2018-07-03,165.73,5.110359958135453,-0.008471826437837393
2018-07-05,164.91,5.105399870540679,-0.004960087594773732
2018-07-06,166.61,5.115655751940977,0.010255881400298428
2018-07-09,168.64,5.127766265352998,0.012110513412020296
2018-07-10,168.73,5.128299804210246,0.0005335388572484945
2018-07-11,169.28,5.1315541486699345,0.0032543444596884186
2018-07-12,169.26,5.13143599424196,-0.00011815442797491471
2018-07-13,169.58,5.133324791875857,0.0018887976338977097
2018-07-16,170.58,5.139204394890964,0.005879603015106483
2018-07-17,170.74,5.140141931582161,0.0009375366911967831
2018-07-18,171.53,5.144758178421734,0.004616246839573179
2018-07-19,170.69,5.139849045776241,-0.00490913264549242
2018-07-20,170.98,5.141546590598088,0.001697544821846364
2018-07-23,173.29,5.154966491652154,0.013419901054065875
2018-07-24,172.58,5.150860897080162,-0.0041055945719916664
2018-07-25,176.25,5.171903441692378,0.02104254461221622
2018-07-26,173.77,5.157732585734163,-0.014170855958215434
2018-07-27,171.57,5.144991346595335,-0.012741239138827964
2018-07-30,167.5,5.120983351265121,-0.024007995330213916
2018-07-31,166.19,5.113131712139432,-0.00785163912568887
2018-08-01,163.0,5.093750200806762,-0.019381511332669632
2018-08-02,170.29,5.137502866038513,0.04375266523175103
2018-08-03,166.82,5.116915386813465,-0.020587479225048
2018-08-06,170.17,5.136797937383345,0.01988255056987942
2018-08-07,172.86,5.152482018324492,0.01568408094114737
2018-08-08,172.69,5.151498079596578,-0.0009839387279138023
2018-08-09,173.17,5.15427377096406,0.0027756913674812367
2018-08-10,173.13,5.154042757390985,-0.0002310135730745344
2018-08-13,172.6,5.150976778649327,-0.0030659787416578155
2018-08-14,175.44,5.1672971041096325,0.016320325460305263
2018-08-15,173.61,5.156811404253857,-0.010485699855775188
2018-08-16,173.92,5.1585954233728994,0.001784019119042135
2018-08-17,173.28,5.15490878325268,-0.0036866401202191312
2018-08-20,174.17,5.160031833743694,0.005123050491013359
2018-08-21,173.54,5.156408120365343,-0.003623713378350324
2018-08-22,173.14,5.154100515787627,-0.0023076045777159493
2018-08-23,173.09,5.153811690438308,-0.0002888253493198434
2018-08-24,174.02,5.1591702351378785,0.005358544699570977
2018-08-27,174.94,5.164443057991709,0.005272822853830128
2018-08-28,177.16,5.177053279054998,0.012610221063289018
2018-08-29,178.07,5.182176731413223,0.005123452358225755
2018-08-30,177.65,5.179815322467036,-0.0023614089461876375
2018-08-31,180.26,5.194400253128264,0.014584930661228235
2018-09-04,182.23,5.205269625497964,0.010869372369699981
2018-09-05,178.52,5.184700639761069,-0.020568985736894696
2018-09-06,179.24,5.188725689917942,0.0040250501568728225
