data,valor
01/01/2012,1.45
01/01/2013,1.27
01/01/2014,1.47
01/01/2015,1.57
01/01/2016,1.74
01/01/2017,1.68
01/01/2018,1.31
01/01/2019,1.21
01/01/2020,0.99
01/01/2021,0.96
01/01/2022,1.43
01/01/2023,1.51
01/01/2024,1.30
01/01/2025,1.51
01/02/2012,1.47
01/02/2013,1.28
01/02/2014,1.51
01/02/2015,1.60
01/02/2016,1.73
01/02/2017,1.62
01/02/2018,1.24
01/02/2019,1.17
01/02/2020,0.95
01/02/2021,0.92
01/02/2022,1.41
01/02/2023,1.50
01/02/2024,1.27
01/02/2025,1.53
01/03/2011,1.61
01/03/2012,1.43
01/03/2013,1.27
01/03/2014,1.48
01/03/2015,1.59
01/03/2016,1.72
01/03/2017,1.56
01/03/2018,1.20
01/03/2019,1.11
01/03/2020,0.91
01/03/2021,0.93
01/03/2022,1.43
01/03/2023,1.47
01/03/2024,1.26
01/03/2025,1.49
01/04/2011,1.63
01/04/2012,1.44
01/04/2013,1.27
01/04/2014,1.49
01/04/2015,1.60
01/04/2016,1.71
01/04/2017,1.51
01/04/2018,1.17
01/04/2019,1.08
01/04/2020,0.97
01/04/2021,1.00
01/04/2022,1.44
01/04/2023,1.45
01/04/2024,1.25
01/04/2025,1.48
01/05/2011,1.61
01/05/2012,1.37
01/05/2013,1.27
01/05/2014,1.47
01/05/2015,1.64
01/05/2016,1.70
01/05/2017,1.46
01/05/2018,1.18
01/05/2019,1.09
01/05/2020,0.99
01/05/2021,1.00
01/05/2022,1.44
01/05/2023,1.44
01/05/2024,1.25
01/05/2025,1.48
01/06/2011,1.59
01/06/2012,1.30
01/06/2013,1.30
01/06/2014,1.47
01/06/2015,1.59
01/06/2016,1.70
01/06/2017,1.47
01/06/2018,1.23
01/06/2019,1.07
01/06/2020,0.95
01/06/2021,1.02
01/06/2022,1.45
01/06/2023,1.39
01/06/2024,1.27
01/06/2025,1.46
01/07/2011,1.60
01/07/2012,1.29
01/07/2013,1.31
01/07/2014,1.52
01/07/2015,1.60
01/07/2016,1.65
01/07/2017,1.43
01/07/2018,1.24
01/07/2019,1.05
01/07/2020,0.94
01/07/2021,1.04
01/07/2022,1.46
01/07/2023,1.37
01/07/2024,1.31
01/07/2025,1.44
01/08/2011,1.58
01/08/2012,1.30
01/08/2013,1.38
01/08/2014,1.48
01/08/2015,1.62
01/08/2016,1.64
01/08/2017,1.39
01/08/2018,1.23
01/08/2019,1.02
01/08/2020,0.92
01/08/2021,1.09
01/08/2022,1.45
01/08/2023,1.34
01/08/2024,1.31
01/08/2025,1.44
01/09/2011,1.54
01/09/2012,1.25
01/09/2013,1.40
01/09/2014,1.51
01/09/2015,1.62
01/09/2016,1.64
01/09/2017,1.37
01/09/2018,1.24
01/09/2019,0.99
01/09/2020,0.90
01/09/2021,1.17
01/09/2022,1.44
01/09/2023,1.31
01/09/2024,1.30
01/09/2025,1.43
01/10/2011,1.56
01/10/2012,1.27
01/10/2013,1.39
01/10/2014,1.49
01/10/2015,1.66
01/10/2016,1.66
01/10/2017,1.32
01/10/2018,1.23
01/10/2019,0.98
01/10/2020,0.92
01/10/2021,1.24
01/10/2022,1.43
01/10/2023,1.32
01/10/2024,1.32
01/10/2025,1.47
01/11/2011,1.47
01/11/2012,1.21
01/11/2013,1.39
01/11/2014,1.54
01/11/2015,1.68
01/11/2016,1.67
01/11/2017,1.32
01/11/2018,1.18
01/11/2019,0.95
01/11/2020,0.89
01/11/2021,1.40
01/11/2022,1.45
01/11/2023,1.31
01/11/2024,1.35
01/11/2025,1.44
01/12/2011,1.38
01/12/2012,1.22
01/12/2013,1.42
01/12/2014,1.50
01/12/2015,1.67
01/12/2016,1.59
01/12/2017,1.29
01/12/2018,1.16
01/12/2019,0.94
01/12/2020,0.89
01/12/2021,1.39
01/12/2022,1.47
01/12/2023,1.27
01/12/2024,1.40
01/12/2025,1.42
