data,valor
01/01/2000,1.07
01/01/2001,0.58
01/01/2002,0.36
01/01/2003,1.51
01/01/2004,0.33
01/01/2005,0.75
01/01/2006,0.34
01/01/2007,0.45
01/01/2008,0.38
01/01/2009,0.33
01/01/2010,0.64
01/01/2011,0.41
01/01/2012,0.89
01/01/2013,0.65
01/01/2014,0.88
01/01/2015,0.92
01/01/2016,0.39
01/01/2017,0.41
01/01/2018,0.31
01/01/2019,0.49
01/01/2020,0.38
01/01/2021,0.89
01/01/2022,0.71
01/01/2023,0.46
01/01/2024,0.27
01/01/2025,0.83
01/01/2026,0.72
01/02/2000,0.77
01/02/2001,0.34
01/02/2002,0.58
01/02/2003,1.39
01/02/2004,1.00
01/02/2005,0.44
01/02/2006,0.19
01/02/2007,0.21
01/02/2008,0.40
01/02/2009,0.27
01/02/2010,0.36
01/02/2011,0.28
01/02/2012,0.30
01/02/2013,0.60
01/02/2014,0.33
01/02/2015,0.31
01/02/2016,0.54
01/02/2017,0.65
01/02/2018,0.13
01/02/2019,0.09
01/02/2020,0.33
01/02/2021,1.89
01/02/2022,0.38
01/02/2023,0.05
01/02/2024,0.13
01/02/2025,0.40
01/03/2000,0.56
01/03/2001,0.27
01/03/2002,0.55
01/03/2003,1.38
01/03/2004,1.16
01/03/2005,0.67
01/03/2006,0.20
01/03/2007,0.27
01/03/2008,0.66
01/03/2009,-0.25
01/03/2010,0.75
01/03/2011,0.43
01/03/2012,0.51
01/03/2013,0.50
01/03/2014,0.28
01/03/2015,0.62
01/03/2016,0.64
01/03/2017,0.16
01/03/2018,0.24
01/03/2019,0.31
01/03/2020,0.26
01/03/2021,1.30
01/03/2022,0.86
01/03/2023,0.30
01/03/2024,0.28
01/03/2025,0.39
01/04/2000,0.60
01/04/2001,0.36
01/04/2002,0.33
01/04/2003,0.90
01/04/2004,0.59
01/04/2005,0.72
01/04/2006,0.36
01/04/2007,0.46
01/04/2008,0.87
01/04/2009,-0.04
01/04/2010,0.84
01/04/2011,1.06
01/04/2012,0.75
01/04/2013,0.74
01/04/2014,0.88
01/04/2015,0.46
01/04/2016,0.55
01/04/2017,-0.02
01/04/2018,0.29
01/04/2019,0.38
01/04/2020,0.22
01/04/2021,0.90
01/04/2022,0.95
01/04/2023,0.14
01/04/2024,0.52
01/04/2025,0.52
01/05/2000,1.35
01/05/2001,2.11
01/05/2002,2.53
01/05/2003,2.84
01/05/2004,1.83
01/05/2005,2.09
01/05/2006,1.32
01/05/2007,1.15
01/05/2008,2.02
01/05/2009,1.39
01/05/2010,1.81
01/05/2011,2.94
01/05/2012,1.88
01/05/2013,2.25
01/05/2014,2.05
01/05/2015,0.95
01/05/2016,0.08
01/05/2017,0.63
01/05/2018,0.23
01/05/2019,0.03
01/05/2020,0.20
01/05/2021,2.22
01/05/2022,2.28
01/05/2023,0.59
01/05/2024,0.86
01/05/2025,0.58
01/06/2000,0.73
01/06/2001,1.16
01/06/2002,0.57
01/06/2003,1.05
01/06/2004,0.70
01/06/2005,0.76
01/06/2006,0.90
01/06/2007,0.92
01/06/2008,1.92
01/06/2009,0.70
01/06/2010,1.09
01/06/2011,0.37
01/06/2012,0.73
01/06/2013,1.15
01/06/2014,0.66
01/06/2015,1.84
01/06/2016,1.93
01/06/2017,0.93
01/06/2018,0.97
01/06/2019,0.88
01/06/2020,0.34
01/06/2021,2.16
01/06/2022,2.14
01/06/2023,0.71
01/06/2024,0.71
01/06/2025,0.69
01/07/2000,0.30
01/07/2001,0.52
01/07/2002,0.29
01/07/2003,0.99
01/07/2004,1.12
01/07/2005,0.11
01/07/2006,0.47
01/07/2007,0.31
01/07/2008,1.46
01/07/2009,0.26
01/07/2010,0.44
01/07/2011,0.45
01/07/2012,0.67
01/07/2013,0.48
01/07/2014,0.75
01/07/2015,0.55
01/07/2016,0.49
01/07/2017,0.30
01/07/2018,0.61
01/07/2019,0.58
