data,valor
01/01/2008,513560
01/01/2009,698197
01/01/2010,794589
01/01/2011,933467
01/01/2012,1099064
01/01/2013,1277890
01/01/2014,1450143
01/01/2015,1591349
01/01/2016,1686224
01/01/2017,1511586
01/01/2018,1410571
01/01/2019,1423002
01/01/2020,1431634
01/01/2021,1764350
01/01/2022,1943805
01/01/2023,2143696
01/01/2024,2223506
01/01/2025,2450444
01/02/2008,522260
01/02/2009,698600
01/02/2010,799320
01/02/2011,947964
01/02/2012,1099920
01/02/2013,1288822
01/02/2014,1455446
01/02/2015,1599734
01/02/2016,1669474
01/02/2017,1507526
01/02/2018,1405303
01/02/2019,1424211
01/02/2020,1442009
01/02/2021,1774313
01/02/2022,1967754
01/02/2023,2128587
01/02/2024,2221893
01/02/2025,2477987
01/03/2007,413952
01/03/2008,544862
01/03/2009,705416
01/03/2010,803921
01/03/2011,958884
01/03/2012,1125741
01/03/2013,1319047
01/03/2014,1470686
01/03/2015,1625477
01/03/2016,1643265
01/03/2017,1505787
01/03/2018,1415763
01/03/2019,1436695
01/03/2020,1534303
01/03/2021,1809384
01/03/2022,1990048
01/03/2023,2146398
01/03/2024,2285751
01/03/2025,2495720
01/04/2007,424836
01/04/2008,557409
01/04/2009,703231
01/04/2010,810261
01/04/2011,971825
01/04/2012,1141731
01/04/2013,1324301
01/04/2014,1477149
01/04/2015,1617486
01/04/2016,1624448
01/04/2017,1496040
01/04/2018,1414907
01/04/2019,1420024
01/04/2020,1554328
01/04/2021,1804880
01/04/2022,1998547
01/04/2023,2136652
01/04/2024,2268846
01/04/2025,2513816
01/05/2007,425838
01/05/2008,572822
01/05/2009,703135
01/05/2010,827703
01/05/2011,986470
01/05/2012,1161233
01/05/2013,1343310
01/05/2014,1486831
01/05/2015,1630568
01/05/2016,1624441
01/05/2017,1480996
01/05/2018,1419445
01/05/2019,1420549
01/05/2020,1568161
01/05/2021,1814790
01/05/2022,2008336
01/05/2023,2137582
01/05/2024,2277001
01/05/2025,2532592
01/06/2007,430511
01/06/2008,587334
01/06/2009,709695
01/06/2010,850742
01/06/2011,1002021
01/06/2012,1180998
01/06/2013,1371462
01/06/2014,1499849
01/06/2015,1640086
01/06/2016,1603433
01/06/2017,1485896
01/06/2018,1432717
01/06/2019,1419273
01/06/2020,1581817
01/06/2021,1814263
01/06/2022,2047451
01/06/2023,2161384
01/06/2024,2336157
01/06/2025,2547706
01/07/2007,439052
01/07/2008,598386
01/07/2009,734148
01/07/2010,856268
01/07/2011,1012580
01/07/2012,1188704
01/07/2013,1371133
01/07/2014,1497784
01/07/2015,1643742
01/07/2016,1588513
01/07/2017,1456057
01/07/2018,1420881
01/07/2019,1396922
01/07/2020,1609796
01/07/2021,1830524
01/07/2022,2041622
01/07/2023,2145357
01/07/2024,2321183
01/07/2025,2544275
01/08/2007,456966
01/08/2008,615495
01/08/2009,744780
01/08/2010,876241
01/08/2011,1025674
01/08/2012,1197310
01/08/2013,1387379
01/08/2014,1509536
01/08/2015,1657395
01/08/2016,1578740
01/08/2017,1442958
01/08/2018,1434320
01/08/2019,1411215
01/08/2020,1649768
01/08/2021,1848208
01/08/2022,2058843
01/08/2023,2164354
01/08/2024,2343924
01/08/2025,2546082
01/09/2007,464106
01/09/2008,646485
01/09/2009,753080
01/09/2010,894120
01/09/2011,1053850
01/09/2012,1218829
01/09/2013,1394720
01/09/2014,1535565
01/09/2015,1681022
01/09/2016,1571752
01/09/2017,1439429
01/09/2018,1440877
01/09/2019,1427524
01/09/2020,1697670
01/09/2021,1891192
01/09/2022,2104721
01/09/2023,2204640
01/09/2024,2384373
01/09/2025,2589912
01/10/2007,475254
01/10/2008,668184
01/10/2009,763694
01/10/2010,910493
01/10/2011,1056671
01/10/2012,1234774
01/10/2013,1391759
01/10/2014,1541066
01/10/2015,1670159
01/10/2016,1557581
01/10/2017,1432195
01/10/2018,1417390
01/10/2019,1415578
01/10/2020,1719393
01/10/2021,1907849
01/10/2022,2100060
01/10/2023,2195088
01/10/2024,2397484
01/10/2025,2596177
01/11/2007,494849
01/11/2008,688358
01/11/2009,777239
01/11/2010,927066
01/11/2011,1080026
01/11/2012,1254604
01/11/2013,1418888
01/11/2014,1566044
01/11/2015,1678370
01/11/2016,1556307
01/11/2017,1429364
01/11/2018,1427818
01/11/2019,1435147
01/11/2020,1751350
01/11/2021,1929659
01/11/2022,2121812
01/11/2023,2211381
01/11/2024,2435998
01/11/2025,2613896
01/12/2007,512056
01/12/2008,699775
01/12/2009,793960
01/12/2010,936912
01/12/2011,1112355
01/12/2012,1291867
01/12/2013,1461999
01/12/2014,1601391
01/12/2015,1710914
01/12/2016,1548645
01/12/2017,1445115
01/12/2018,1462037
01/12/2019,1458826
01/12/2020,1780450
01/12/2021,1970605
01/12/2022,2170267
01/12/2023,2271990
01/12/2024,2497213
01/12/2025,2698990
