data,valor
01/12/2001,0.74
01/12/2002,2.70
01/12/2003,0.54
01/12/2004,0.86
01/12/2005,0.40
01/12/2006,0.62
01/12/2007,0.97
01/12/2008,0.29
01/12/2009,0.24
01/12/2010,0.60
01/12/2011,0.51
01/12/2012,0.74
01/12/2013,0.72
01/12/2014,0.62
01/12/2015,0.90
01/12/2016,0.14
01/12/2017,0.26
01/12/2018,0.14
01/12/2019,1.22
01/12/2020,1.46
01/12/2021,0.73
01/12/2022,0.69
01/12/2023,0.55
01/12/2024,0.48
01/12/2025,0.21
