timestamp,asset,timeframe,horizon,regime_label,regime_confidence,regime_risk,novelty_score,transition_rate,entropy,y_true,y_pred,y_pred_p10,y_pred_p50,y_pred_p90,model_name,model_family,forecast_confidence,warnings,mase_6m,smape_6m,diracc_6m
2025-12-31,BTC-USD,daily,1,,,,0.11799906743979349,0.5428571428571428,,,,,,,gbrt,ensemble,0.4827835607985711,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.6850599851906286,,0.4712328767123288
2025-12-31,BTC-USD,daily,5,,,,0.11799906743979349,0.5428571428571428,,,,,,,gbrt,ensemble,0.4827835607985711,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.6825144904295561,,0.4821917808219178
2025-12-31,BTC-USD,daily,20,,,,0.11799906743979349,0.5428571428571428,,,,,,,gbrt,ensemble,0.4827835607985711,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.6667772410921244,,0.4849315068493151
2009-12-31,DBA,daily,1,,,,0.07973156617989806,0.5,,,,,,,takens_knn,ensemble,0.4811283749523023,['REGIME_INSTAVEL'],0.7290674058034121,,0.5317460317460317
2009-12-31,DBA,daily,5,,,,0.07973156617989806,0.5,,,,,,,takens_knn,ensemble,0.4811283749523023,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.7397051615666369,,0.5119047619047619
2009-12-31,DBA,daily,20,,,,0.07973156617989806,0.5,,,,,,,takens_knn,ensemble,0.4811283749523023,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.8170131486799339,,0.4642857142857143
2010-12-31,DBA,daily,1,,,,0.3155324760658539,0.4583333333333333,,,,,,,takens_knn,ensemble,0.4595999014678206,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.7390088953913966,,0.4880952380952381
2010-12-31,DBA,daily,5,,,,0.3155324760658539,0.4583333333333333,,,,,,,takens_knn,ensemble,0.4595999014678206,['REGIME_INSTAVEL'],0.7743772621144803,,0.5238095238095238
2010-12-31,DBA,daily,20,,,,0.3155324760658539,0.4583333333333333,,,,,,,takens_knn,ensemble,0.4595999014678206,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.8504518567220117,,0.4603174603174603
2011-12-31,DBA,daily,1,,,,0.0781531911868998,0.4166666666666667,,,,,,,takens_knn,ensemble,0.44375126606433724,"['DIRECAO_FRACA', 'REGIME_INSTAVEL']",0.7388620335871705,,0.4880952380952381
