timestamp,entity_id,metric,value,humidity
2023-01-01T00:00:00,CityA,temperature,22.290091504164145,73.58831180572784
2023-01-02T00:00:00,CityA,temperature,24.36325852250565,83.16644165217508
2023-01-03T00:00:00,CityA,temperature,22.90298495625433,52.986284589098375
2023-01-04T00:00:00,CityA,temperature,25.254433719218525,85.43102249137715
2023-01-05T00:00:00,CityA,temperature,24.264483745395037,55.69283305884704
2023-01-06T00:00:00,CityA,temperature,23.92530772021601,79.38685101356856
2023-01-07T00:00:00,CityA,temperature,23.512910705833576,47.479780232410334
2023-01-08T00:00:00,CityA,temperature,24.61347396337908,71.0020117469436
2023-01-09T00:00:00,CityA,temperature,24.59388857262558,66.60289864169752
2023-01-10T00:00:00,CityA,temperature,24.073702801212015,49.92148071269092
2023-01-11T00:00:00,CityA,temperature,24.98712029922163,61.682063568407244
2023-01-12T00:00:00,CityA,temperature,23.07590421205553,56.37903304908489
2023-01-13T00:00:00,CityA,temperature,26.0955616722535,79.27329003282222
2023-01-14T00:00:00,CityA,temperature,26.014824250169646,45.287460077746
2023-01-15T00:00:00,CityA,temperature,25.934345056462522,61.004001455423435
2023-01-16T00:00:00,CityA,temperature,26.12038225702289,78.98659615601721
2023-01-17T00:00:00,CityA,temperature,25.592540616737523,78.42439135847933
2023-01-18T00:00:00,CityA,temperature,26.59582829718019,88.33324225384308
2023-01-19T00:00:00,CityA,temperature,27.348822078706455,66.88008684115655
2023-01-20T00:00:00,CityA,temperature,27.10928416742283,54.700011060971576
2023-01-21T00:00:00,CityA,temperature,26.714013199115733,81.52218786436576
2023-01-22T00:00:00,CityA,temperature,25.856102344968377,52.676561468048
2023-01-23T00:00:00,CityA,temperature,27.604082887335124,67.55561984719847
2023-01-24T00:00:00,CityA,temperature,27.842624675603687,78.50110576596097
2023-01-25T00:00:00,CityA,temperature,27.282098498675147,75.36537800565048
2023-01-26T00:00:00,CityA,temperature,27.356682250815684,87.62488006436567
2023-01-27T00:00:00,CityA,temperature,27.48028600767745,68.58710874878373
2023-01-28T00:00:00,CityA,temperature,28.22499966104841,79.86366940568031
2023-01-29T00:00:00,CityA,temperature,25.792174194779495,72.16237278928531
2023-01-30T00:00:00,CityA,temperature,27.870819674672813,60.65508352254335
2023-01-31T00:00:00,CityA,temperature,28.702874831692622,53.43454515451784
2023-02-01T00:00:00,CityA,temperature,26.803748922417267,45.32247561820286
2023-02-02T00:00:00,CityA,temperature,28.60867875492444,74.78018705550433
2023-02-03T00:00:00,CityA,temperature,27.48953104737408,62.89357509307004
2023-02-04T00:00:00,CityA,temperature,29.292511331306105,56.89989060977113
2023-02-05T00:00:00,CityA,temperature,26.800669231961173,68.41819966206387
2023-02-06T00:00:00,CityA,temperature,29.100508533064705,65.52161594443177
2023-02-07T00:00:00,CityA,temperature,29.891967496423376,85.30228859228706
2023-02-08T00:00:00,CityA,temperature,29.16133314945452,87.66749638264965
2023-02-09T00:00:00,CityA,temperature,25.288664355241107,63.88536975803156
2023-02-10T00:00:00,CityA,temperature,29.709112984257096,67.56606204728882
2023-02-11T00:00:00,CityA,temperature,27.663734822061663,70.3494505571114
2023-02-12T00:00:00,CityA,temperature,28.266238064446036,67.04073494024946
2023-02-13T00:00:00,CityA,temperature,27.573004677932907,83.6654936427957
2023-02-14T00:00:00,CityA,temperature,28.712636496150985,49.85207724382923
2023-02-15T00:00:00,CityA,temperature,28.271680751621798,77.88337035728466
2023-02-16T00:00:00,CityA,temperature,28.611357733018682,60.618309090479755
2023-02-17T00:00:00,CityA,temperature,28.317823341020212,83.07699653157995
2023-02-18T00:00:00,CityA,temperature,28.520015187176543,49.34829133774778
2023-02-19T00:00:00,CityA,temperature,27.719001410960647,77.66995238644975
2023-02-20T00:00:00,CityA,temperature,28.292831670994534,71.12169821339523
2023-02-21T00:00:00,CityA,temperature,27.23088372613552,82.37741558422013
2023-02-22T00:00:00,CityA,temperature,25.99526258348967,47.52690672122569
2023-02-23T00:00:00,CityA,temperature,29.382275214325578,70.29795569351023
2023-02-24T00:00:00,CityA,temperature,26.581331932604705,40.74994436608053
2023-02-25T00:00:00,CityA,temperature,28.505101829317763,45.90614102943336
2023-02-26T00:00:00,CityA,temperature,27.26698429629484,40.30048164511236
2023-02-27T00:00:00,CityA,temperature,28.979944710275205,57.49241754723784
2023-02-28T00:00:00,CityA,temperature,28.39420072891274,67.68651681334529
2023-03-01T00:00:00,CityA,temperature,26.973602526325077,40.74692528656004
2023-03-02T00:00:00,CityA,temperature,28.23749703440901,52.71063678639428
2023-03-03T00:00:00,CityA,temperature,28.062761044668807,59.15180660267862
2023-03-04T00:00:00,CityA,temperature,28.568110750586165,54.77494187010083
2023-03-05T00:00:00,CityA,temperature,27.557671312972033,63.23225237015045
2023-03-06T00:00:00,CityA,temperature,26.34346538830131,46.99624852883147
2023-03-07T00:00:00,CityA,temperature,25.829321464348943,44.43113989927929
2023-03-08T00:00:00,CityA,temperature,27.639664935928007,69.31870519018301
2023-03-09T00:00:00,CityA,temperature,26.934413261752084,40.77502197996103
2023-03-10T00:00:00,CityA,temperature,29.11339993570945,76.6385926736007
2023-03-11T00:00:00,CityA,temperature,28.18096908555535,59.17373163883252
2023-03-12T00:00:00,CityA,temperature,26.137360533146797,88.61276502482342
2023-03-13T00:00:00,CityA,temperature,25.23790709521438,81.08045749631904
2023-03-14T00:00:00,CityA,temperature,28.640828612667633,74.97468418901292
2023-03-15T00:00:00,CityA,temperature,27.305389971567926,55.99449036624055
2023-03-16T00:00:00,CityA,temperature,25.813494760319166,80.91865750392375
2023-03-17T00:00:00,CityA,temperature,26.2755010065079,65.73422190923898
2023-03-18T00:00:00,CityA,temperature,26.59288848096567,47.803933075558625
2023-03-19T00:00:00,CityA,temperature,25.164650674913908,81.98891942394025
