date,price
2015-01-01,50.18283024785266
2015-01-02,49.37849907231315
2015-01-03,50.45583424194229
2015-01-04,50.57453745733588
2015-01-05,48.84683302886962
2015-01-06,49.25013813717549
2015-01-07,50.126064246434645
2015-01-08,49.88313423751442
2015-01-09,50.091998533762386
2015-01-10,49.62309873909766
2015-01-11,50.699813358212786
2015-01-12,50.680249347534854
2015-01-13,50.296678235133
2015-01-14,50.97844973867787
2015-01-15,50.62777233663672
2015-01-16,49.87471041122046
2015-01-17,50.65233306806193
2015-01-18,49.89378815628851
2015-01-19,51.03153436157489
2015-01-20,50.508159509265006
2015-01-21,50.45943423464649
2015-01-22,50.19460209734882
2015-01-23,51.37078671711353
2015-01-24,50.57962100142036
2015-01-25,50.45080648916231
2015-01-26,50.53317701003847
2015-01-27,51.10025778264706
2015-01-28,51.035328192881515
2015-01-29,51.097917536230234
2015-01-30,51.14277634284645
2015-01-31,52.20325077330972
2015-02-01,50.7075806779212
2015-02-02,50.679379632500456
2015-02-03,50.535408615505865
2015-02-04,51.431323822303625
2015-02-05,51.77934724263952
2015-02-06,51.07529713228587
2015-02-07,50.681046612914635
2015-02-08,50.72971603221035
2015-02-09,51.651525125262786
2015-02-10,51.74074518889118
2015-02-11,51.65311505608365
2015-02-12,50.95908772604347
2015-02-13,51.529422654262966
2015-02-14,51.49342296322095
2015-02-15,51.5877526580637
2015-02-16,52.01089696222672
2015-02-17,51.65144417045704
2015-02-18,51.9528180508099
2015-02-19,51.613790934869265
2015-02-20,51.77380492595598
2015-02-21,52.0065759061182
2015-02-22,50.78145247889596
2015-02-23,51.49065145846398
2015-02-24,51.426021251294
2015-02-25,51.35263790988707
2015-02-26,51.60117081479194
2015-02-27,52.69567115705124
2015-02-28,51.31424058238325
2015-03-01,52.45210505577164
2015-03-02,50.901202026645734
2015-03-03,51.75084187230793
2015-03-04,52.09209801204247
2015-03-05,52.38998843928736
2015-03-06,52.50853050220553
2015-03-07,52.6010517068649
2015-03-08,51.96074812882571
2015-03-09,51.93944902712995
