date,price
2015-11-23,48139.0
2015-11-24,48150.0
2015-11-25,48284.0
2015-11-26,46867.0
2015-11-27,47146.0
2015-11-28,45873.0
2015-11-29,45873.0
2015-11-30,45873.0
2015-12-01,45120.0
2015-12-02,45047.0
2015-12-03,44915.0
2015-12-04,46393.0
2015-12-05,45361.0
2015-12-06,45361.0
2015-12-07,45361.0
2015-12-08,45223.0
2015-12-09,44443.0
2015-12-10,46108.0
2015-12-11,45631.0
2015-12-12,45263.0
2015-12-13,45263.0
2015-12-14,45263.0
2015-12-15,44747.0
2015-12-16,44872.0
2015-12-17,45016.0
2015-12-18,45261.0
2015-12-19,43911.0
2015-12-20,43911.0
2015-12-21,43911.0
2015-12-22,43200.0
2015-12-23,43470.0
2015-12-24,44015.0
2015-12-25,44015.0
2015-12-26,44015.0
2015-12-27,44015.0
2015-12-28,44015.0
2015-12-29,43764.0
2015-12-30,43654.0
2015-12-31,43350.0
2016-01-01,43350.0
2016-01-02,43350.0
2016-01-03,43350.0
2016-01-04,43350.0
2016-01-05,42141.0
2016-01-06,42419.0
2016-01-07,41773.0
2016-01-08,40695.0
2016-01-09,40612.0
2016-01-10,40612.0
2016-01-11,40612.0
2016-01-12,39950.0
2016-01-13,39514.0
2016-01-14,38944.0
2016-01-15,39500.0
2016-01-16,38569.0
2016-01-17,38569.0
2016-01-18,38569.0
2016-01-19,37937.0
2016-01-20,38057.0
2016-01-21,37645.0
2016-01-22,37717.0
2016-01-23,38031.0
2016-01-24,38031.0
2016-01-25,38031.0
2016-01-26,38031.0
2016-01-27,37497.0
2016-01-28,38376.0
2016-01-29,38630.0
2016-01-30,40406.0
2016-01-31,40406.0
2016-02-01,40406.0
2016-02-02,40570.0
2016-02-03,38596.0
2016-02-04,39589.0
2016-02-05,40822.0
2016-02-06,40592.0
2016-02-07,40592.0
2016-02-08,40592.0
2016-02-09,40592.0
2016-02-10,40592.0
2016-02-11,40377.0
2016-02-12,39318.0
2016-02-13,39808.0
2016-02-14,39808.0
2016-02-15,39808.0
2016-02-16,40093.0
2016-02-17,40948.0
2016-02-18,41631.0
2016-02-19,41478.0
2016-02-20,41543.0
2016-02-21,41543.0
2016-02-22,41543.0
2016-02-23,43235.0
2016-02-24,42521.0
2016-02-25,42085.0
2016-02-26,41888.0
2016-02-27,41593.0
2016-02-28,41593.0
2016-02-29,41593.0
2016-03-01,42794.0
2016-03-02,44122.0
2016-03-03,44893.0
2016-03-04,47193.0
2016-03-05,49085.0
2016-03-06,49085.0
2016-03-07,49085.0
2016-03-08,49246.0
2016-03-09,49102.0
2016-03-10,48665.0
2016-03-11,49571.0
2016-03-12,49639.0
2016-03-13,49639.0
2016-03-14,49639.0
2016-03-15,48867.0
2016-03-16,47130.0
2016-03-17,47763.0
2016-03-18,50914.0
2016-03-19,50815.0
2016-03-20,50815.0
2016-03-21,50815.0
2016-03-22,51172.0
2016-03-23,51010.0
2016-03-24,49690.0
2016-03-25,49657.0
2016-03-26,49657.0
2016-03-27,49657.0
2016-03-28,49657.0
2016-03-29,50838.0
2016-03-30,51155.0
2016-03-31,51249.0
2016-04-01,50055.0
2016-04-02,50562.0
2016-04-03,50562.0
2016-04-04,50562.0
2016-04-05,48780.0
2016-04-06,49054.0
2016-04-07,48096.0
2016-04-08,48513.0
2016-04-09,50293.0
2016-04-10,50293.0
2016-04-11,50293.0
2016-04-12,50165.0
2016-04-13,52002.0
2016-04-14,53150.0
2016-04-15,52411.0
2016-04-16,53228.0
2016-04-17,53228.0
2016-04-18,53228.0
2016-04-19,52894.0
2016-04-20,53710.0
2016-04-21,53631.0
2016-04-22,53631.0
2016-04-23,52908.0
2016-04-24,52908.0
2016-04-25,52908.0
2016-04-26,51862.0
2016-04-27,53083.0
2016-04-28,54478.0
2016-04-29,54312.0
2016-04-30,53911.0
2016-05-01,53911.0
2016-05-02,53911.0
2016-05-03,53562.0
2016-05-04,52260.0
2016-05-05,52553.0
2016-05-06,51671.0
2016-05-07,51718.0
2016-05-08,51718.0
2016-05-09,51718.0
2016-05-10,50990.0
2016-05-11,53071.0
2016-05-12,52764.0
2016-05-13,53241.0
2016-05-14,51804.0
2016-05-15,51804.0
2016-05-16,51804.0
2016-05-17,51803.0
2016-05-18,50839.0
2016-05-19,50562.0
2016-05-20,50133.0
2016-05-21,49723.0
2016-05-22,49723.0
2016-05-23,49723.0
2016-05-24,49330.0
2016-05-25,49345.0
2016-05-26,49483.0
2016-05-27,49483.0
2016-05-28,49051.0
2016-05-29,49051.0
2016-05-30,49051.0
2016-05-31,48964.0
2016-06-01,48472.0
2016-06-02,49013.0
2016-06-03,49887.0
2016-06-04,50619.0
2016-06-05,50619.0
2016-06-06,50619.0
2016-06-07,50432.0
2016-06-08,50488.0
2016-06-09,51629.0
2016-06-10,51118.0
2016-06-11,49422.0
2016-06-12,49422.0
2016-06-13,49422.0
2016-06-14,49661.0
2016-06-15,48648.0
2016-06-16,48915.0
2016-06-17,49412.0
2016-06-18,49534.0
2016-06-19,49534.0
2016-06-20,49534.0
2016-06-21,50329.0
2016-06-22,50838.0
2016-06-23,50156.0
2016-06-24,51560.0
2016-06-25,50105.0
2016-06-26,50105.0
2016-06-27,50105.0
2016-06-28,49246.0
2016-06-29,50007.0
2016-06-30,51002.0
2016-07-01,51527.0
2016-07-02,52233.0
2016-07-03,52233.0
2016-07-04,52233.0
2016-07-05,52569.0
2016-07-06,51842.0
2016-07-07,51902.0
2016-07-08,52015.0
2016-07-09,53141.0
2016-07-10,53141.0
2016-07-11,53141.0
2016-07-12,53960.0
2016-07-13,54256.0
2016-07-14,54598.0
2016-07-15,55481.0
2016-07-16,55578.0
2016-07-17,55578.0
2016-07-18,55578.0
2016-07-19,56484.0
2016-07-20,56698.0
2016-07-21,56578.0
2016-07-22,56641.0
2016-07-23,57002.0
2016-07-24,57002.0
2016-07-25,57002.0
2016-07-26,56873.0
2016-07-27,56783.0
2016-07-28,56853.0
2016-07-29,56667.0
2016-07-30,57308.0
2016-07-31,57308.0
2016-08-01,57308.0
2016-08-02,56756.0
2016-08-03,56162.0
2016-08-04,57077.0
2016-08-05,57594.0
2016-08-06,57661.0
2016-08-07,57661.0
2016-08-08,57661.0
2016-08-09,57635.0
2016-08-10,57689.0
2016-08-11,56920.0
2016-08-12,58300.0
2016-08-13,58298.0
2016-08-14,58298.0
2016-08-15,58298.0
2016-08-16,59146.0
2016-08-17,58855.0
2016-08-18,59324.0
2016-08-19,59166.0
2016-08-20,59099.0
2016-08-21,59099.0
2016-08-22,59099.0
2016-08-23,57781.0
2016-08-24,58020.0
2016-08-25,57718.0
2016-08-26,57722.0
2016-08-27,57716.0
2016-08-28,57716.0
2016-08-29,57716.0
2016-08-30,58610.0
2016-08-31,58575.0
2016-09-01,57901.0
2016-09-02,58236.0
2016-09-03,59616.0
2016-09-04,59616.0
2016-09-05,59616.0
2016-09-06,59566.0
2016-09-07,60129.0
2016-09-08,60129.0
2016-09-09,60232.0
2016-09-10,58000.0
2016-09-11,58000.0
2016-09-12,58000.0
2016-09-13,58586.0
2016-09-14,56821.0
2016-09-15,57059.0
2016-09-16,57909.0
2016-09-17,57080.0
2016-09-18,57080.0
2016-09-19,57080.0
2016-09-20,57350.0
2016-09-21,57736.0
2016-09-22,58394.0
2016-09-23,58994.0
2016-09-24,58697.0
2016-09-25,58697.0
2016-09-26,58697.0
2016-09-27,58054.0
2016-09-28,58382.0
2016-09-29,59356.0
2016-09-30,58351.0
2016-10-01,58367.0
2016-10-02,58367.0
2016-10-03,58367.0
2016-10-04,59461.0
2016-10-05,59339.0
2016-10-06,60254.0
2016-10-07,60644.0
2016-10-08,61109.0
2016-10-09,61109.0
2016-10-10,61109.0
2016-10-11,61668.0
2016-10-12,61022.0
2016-10-13,61022.0
2016-10-14,61119.0
2016-10-15,61767.0
2016-10-16,61767.0
2016-10-17,61767.0
2016-10-18,62696.0
2016-10-19,63782.0
2016-10-20,63506.0
2016-10-21,63838.0
2016-10-22,64108.0
2016-10-23,64108.0
2016-10-24,64108.0
2016-10-25,64060.0
2016-10-26,63866.0
2016-10-27,63826.0
2016-10-28,64250.0
2016-10-29,64308.0
2016-10-30,64308.0
2016-10-31,64308.0
2016-11-01,64925.0
2016-11-02,63326.0
2016-11-03,63326.0
2016-11-04,61750.0
2016-11-05,61598.0
2016-11-06,61598.0
2016-11-07,61598.0
2016-11-08,64052.0
2016-11-09,64158.0
2016-11-10,63258.0
2016-11-11,61201.0
2016-11-12,59184.0
2016-11-13,59184.0
2016-11-14,59184.0
2016-11-15,59657.0
2016-11-16,59657.0
2016-11-17,60759.0
2016-11-18,59770.0
2016-11-19,59962.0
2016-11-20,59962.0
2016-11-21,59962.0
2016-11-22,61070.0
2016-11-23,61954.0
2016-11-24,61986.0
2016-11-25,61396.0
2016-11-26,61559.0
2016-11-27,61559.0
2016-11-28,61559.0
2016-11-29,62855.0
2016-11-30,60987.0
2016-12-01,61906.0
2016-12-02,59507.0
2016-12-03,60316.0
2016-12-04,60316.0
2016-12-05,60316.0
2016-12-06,59832.0
2016-12-07,61088.0
2016-12-08,61414.0
2016-12-09,60677.0
2016-12-10,60501.0
2016-12-11,60501.0
2016-12-12,60501.0
2016-12-13,59179.0
2016-12-14,59281.0
2016-12-15,58212.0
2016-12-16,58396.0
2016-12-17,58389.0
2016-12-18,58389.0
2016-12-19,58389.0
2016-12-20,57111.0
2016-12-21,57583.0
2016-12-22,57647.0
2016-12-23,57255.0
2016-12-24,57937.0
2016-12-25,57937.0
2016-12-26,57937.0
2016-12-27,58620.0
2016-12-28,58697.0
2016-12-29,59782.0
2016-12-30,60227.0
2016-12-31,60227.0
2017-01-01,60227.0
2017-01-02,60227.0
2017-01-03,59589.0
2017-01-04,61814.0
2017-01-05,61589.0
2017-01-06,62071.0
2017-01-07,61665.0
2017-01-08,61665.0
2017-01-09,61665.0
2017-01-10,61700.0
2017-01-11,62132.0
2017-01-12,62446.0
2017-01-13,63954.0
2017-01-14,63652.0
2017-01-15,63652.0
2017-01-16,63652.0
2017-01-17,63831.0
2017-01-18,64354.0
2017-01-19,64150.0
2017-01-20,63951.0
2017-01-21,64521.0
2017-01-22,64521.0
2017-01-23,64521.0
2017-01-24,65749.0
2017-01-25,65840.0
2017-01-26,65840.0
2017-01-27,66191.0
2017-01-28,66034.0
2017-01-29,66034.0
2017-01-30,66034.0
2017-01-31,64302.0
2017-02-01,64671.0
2017-02-02,64836.0
2017-02-03,64578.0
2017-02-04,64954.0
2017-02-05,64954.0
2017-02-06,64954.0
2017-02-07,63993.0
2017-02-08,64199.0
2017-02-09,64835.0
2017-02-10,64965.0
2017-02-11,66125.0
2017-02-12,66125.0
2017-02-13,66125.0
2017-02-14,66968.0
2017-02-15,66713.0
2017-02-16,67976.0
2017-02-17,67814.0
2017-02-18,67748.0
2017-02-19,67748.0
2017-02-20,67748.0
2017-02-21,68533.0
2017-02-22,69052.0
2017-02-23,68590.0
2017-02-24,67461.0
2017-02-25,66662.0
2017-02-26,66662.0
2017-02-27,66662.0
2017-02-28,66662.0
2017-03-01,66662.0
2017-03-02,66989.0
2017-03-03,65855.0
2017-03-04,66786.0
2017-03-05,66786.0
2017-03-06,66786.0
2017-03-07,66341.0
2017-03-08,65742.0
2017-03-09,64718.0
2017-03-10,64585.0
