day,order_id,origin,destination,window_start,window_end,driver_id,vehicle,status,eta_prev,eta_real,cost,distance_km,load_weight
2023-01-01,ORD000_0,HubC,City4,2023-01-01T08:00:00,2023-01-01T12:00:00,DRV3,Van2,on_time,680.6388815666667,700.5122630166667,117.42508365045984,52.63968801762144,641.0035105688879
2023-01-01,ORD000_1,HubC,City2,2023-01-01T08:00:00,2023-01-01T11:00:00,DRV4,Van2,failed,629.95327405,,397.6634677873653,38.96148302952441,650.4878444394528
2023-01-01,ORD000_2,HubA,City4,2023-01-01T08:00:00,2023-01-01T10:00:00,DRV3,Van1,on_time,567.2000602,541.2597351,169.83140212909126,9.983353899305143,656.5474083997785
2023-01-02,ORD001_0,HubC,City4,2023-01-02T11:00:00,2023-01-02T13:00:00,DRV3,Truck1,on_time,739.7685525833333,764.8775235333334,384.66566117599996,58.10976181910077,827.557613304815
2023-01-02,ORD001_1,HubA,City2,2023-01-02T08:00:00,2023-01-02T11:00:00,DRV4,Van2,on_time,622.6777059166667,624.2315083166667,110.31655633456552,55.01262211433301,332.9019834400152
2023-01-02,ORD001_2,HubB,City2,2023-01-02T09:00:00,2023-01-02T12:00:00,DRV2,Van2,on_time,631.8249223333333,670.7936244833332,381.8496824692567,54.215504273520686,638.1099809299766
2023-01-03,ORD002_0,HubC,City4,2023-01-03T09:00:00,2023-01-03T13:00:00,DRV4,Truck1,failed,699.3279690833333,,324.19603304121426,34.68306728139939,628.0760490974634
2023-01-03,ORD002_1,HubA,City4,2023-01-03T11:00:00,2023-01-03T13:00:00,DRV1,Truck1,late,745.5269613833333,898.8198243,331.6734307889972,15.929362484379482,104.96990541124217
2023-01-03,ORD002_2,HubC,City3,2023-01-03T08:00:00,2023-01-03T12:00:00,DRV3,Truck1,on_time,634.4219472833333,676.7483027833333,374.4879026631342,51.75212177843896,504.50560672438303
2023-01-04,ORD003_0,HubA,City4,2023-01-04T10:00:00,2023-01-04T14:00:00,DRV2,Van2,on_time,774.5221327333333,814.8133539333334,268.3730277543103,26.06097811145844,974.5408858501934
2023-01-04,ORD003_1,HubC,City1,2023-01-04T08:00:00,2023-01-04T11:00:00,DRV3,Van1,on_time,627.5739846333333,613.8881813,133.26724624354938,29.163507602617358,281.5472821018566
2023-01-04,ORD003_2,HubC,City1,2023-01-04T11:00:00,2023-01-04T13:00:00,DRV4,Van2,failed,735.0424662500001,,223.1148769106889,46.55531261986768,305.9183489424602
2023-01-05,ORD004_0,HubC,City3,2023-01-05T10:00:00,2023-01-05T13:00:00,DRV4,Truck2,on_time,732.26197885,762.9362755333333,236.96037114487308,17.014224046925847,474.8589530833296
2023-01-05,ORD004_1,HubB,City3,2023-01-05T11:00:00,2023-01-05T14:00:00,DRV3,Van2,on_time,755.5902934999999,814.9376520333334,294.30703616240874,5.02862073474237,417.3119707007521
2023-01-05,ORD004_2,HubC,City3,2023-01-05T09:00:00,2023-01-05T13:00:00,DRV1,Truck2,on_time,742.8080779666667,751.7944717666667,382.87291117375577,22.77616126114154,566.9115595690295
2023-01-06,ORD005_0,HubA,City4,2023-01-06T08:00:00,2023-01-06T11:00:00,DRV1,Truck2,failed,614.89306225,,249.17455176771563,21.54830703992233,356.35644493972086
